ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,Intake Time definition,Intake Assessment method,Intake,Intake detail,Supplement intakes included?,Intake Arithmetic mean,Intake Geometric mean,Intake Median,Intake Unit,Intake Adjusted on,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Biomarker Arithmetic mean,Biomarker Geometric mean,Biomarker Median,Biomarker Unit,Biomarker Adjusted on,Correlation size,Correlation type,Correlation value,Correlation 95% CI lower,Correlation 95% CI upper,Correlation p-value,Significant?,Measurement adjustment,Deattenuated?,Covariates,Publication
2816,3006,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Linoleic acid (LA; cis-18:2n-6),"",,4.7,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,-0.12,,,< 0.05,Yes,,,,Astorg 2008
2817,3006,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Linoleic acid (LA; cis-18:2n-6),"",,4.7,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,-0.01,,,>= 0.05,No,,,,Astorg 2008
2818,3007,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,0.17,,,< 0.01,Yes,,,,Astorg 2008
2819,3007,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,-0.13,,,< 0.05,Yes,,,,Astorg 2008
2820,3007,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,0.06,,,>= 0.05,No,,,,Astorg 2008
2821,3007,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.07,,,>= 0.05,No,,,,Astorg 2008
2822,3007,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.12,,,< 0.05,Yes,,,,Astorg 2008
2823,3007,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.06,,,>= 0.05,No,,,,Astorg 2008
2824,3007,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,-0.005,,,>= 0.05,No,,,,Astorg 2008
2825,3007,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.02,,,>= 0.05,No,,,,Astorg 2008
2826,3007,3021,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",0.21,,,percentRoot,,276,Spearman,-0.11,,,>= 0.05,No,,,,Astorg 2008
2827,3007,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,0.06,,,>= 0.05,No,,,,Astorg 2008
2828,3007,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),alpha-Linolenic acid (ALA; cis-18:3n-3),"",,0.37,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,0.04,,,>= 0.05,No,,,,Astorg 2008
2829,3008,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,-0.02,,,>= 0.05,No,,,,Astorg 2008
2830,3008,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,0.06,,,>= 0.05,No,,,,Astorg 2008
2831,3008,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,-0.15,,,< 0.05,Yes,,,,Astorg 2008
2832,3008,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.14,,,< 0.05,Yes,,,,Astorg 2008
2833,3008,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.02,,,>= 0.05,No,,,,Astorg 2008
2834,3008,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.19,,,< 0.01,Yes,,,,Astorg 2008
2835,3008,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,0.16,,,< 0.01,Yes,,,,Astorg 2008
2836,3008,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.19,,,< 0.01,Yes,,,,Astorg 2008
2837,3008,3021,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",0.21,,,percentRoot,,276,Spearman,-0.03,,,>= 0.05,No,,,,Astorg 2008
2838,3008,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,0.01,,,>= 0.05,No,,,,Astorg 2008
2839,3008,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),Arachidonic acid (AA; cis-20:4n-6),"",,0.08,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,0.13,,,< 0.05,Yes,,,,Astorg 2008
2840,3009,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,-0.007,,,>= 0.05,No,,,,Astorg 2008
2841,3009,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,0.001,,,>= 0.05,No,,,,Astorg 2008
2842,3009,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,-0.07,,,>= 0.05,No,,,,Astorg 2008
2843,3009,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.11,,,>= 0.05,No,,,,Astorg 2008
2844,3009,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.06,,,>= 0.05,No,,,,Astorg 2008
2845,3009,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.16,,,< 0.01,Yes,,,,Astorg 2008
2846,3009,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,-0.003,,,>= 0.05,No,,,,Astorg 2008
2847,3009,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.24,,,< 0.001,Yes,,,,Astorg 2008
2848,3009,3021,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",0.21,,,percentRoot,,276,Spearman,-0.16,,,< 0.01,Yes,,,,Astorg 2008
2849,3009,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,0.07,,,>= 0.05,No,,,,Astorg 2008
2850,3009,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),EPA (cis-20:5n-3),"",,0.06,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,0.23,,,< 0.01,Yes,,,,Astorg 2008
2851,3010,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,-0.01,,,>= 0.05,No,,,,Astorg 2008
2852,3010,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,-0.02,,,>= 0.05,No,,,,Astorg 2008
2853,3010,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,-0.14,,,< 0.05,Yes,,,,Astorg 2008
2854,3010,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.18,,,< 0.01,Yes,,,,Astorg 2008
2855,3010,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.05,,,>= 0.05,No,,,,Astorg 2008
2856,3010,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.23,,,< 0.001,Yes,,,,Astorg 2008
2857,3010,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,0.13,,,< 0.05,Yes,,,,Astorg 2008
2858,3010,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.27,,,< 0.001,Yes,,,,Astorg 2008
2859,3010,3021,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",0.21,,,percentRoot,,276,Spearman,-0.12,,,< 0.05,Yes,,,,Astorg 2008
2860,3010,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,0.08,,,>= 0.05,No,,,,Astorg 2008
2861,3010,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DPA (cis-22:5n-3),"",,0.03,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,0.19,,,< 0.01,Yes,,,,Astorg 2008
2862,3011,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,0.02,,,>= 0.05,No,,,,Astorg 2008
2863,3011,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,-0.02,,,>= 0.05,No,,,,Astorg 2008
2864,3011,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,-0.03,,,>= 0.05,No,,,,Astorg 2008
2865,3011,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.13,,,< 0.05,Yes,,,,Astorg 2008
2866,3011,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.08,,,>= 0.05,No,,,,Astorg 2008
2867,3011,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.16,,,< 0.01,Yes,,,,Astorg 2008
2868,3011,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,0.01,,,>= 0.05,No,,,,Astorg 2008
2869,3011,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.25,,,< 0.001,Yes,,,,Astorg 2008
2870,3011,3021,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",0.21,,,percentRoot,,276,Spearman,-0.2,,,< 0.001,Yes,,,,Astorg 2008
2871,3011,3022,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DPA (cis-22:5n-3),"",0.54,,,percentRoot,,276,Spearman,0.08,,,>= 0.05,No,,,,Astorg 2008
2872,3011,3023,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),DHA (cis-22:6n-3),"",,0.11,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",2.49,,,percentRoot,,276,Spearman,0.25,,,< 0.001,Yes,,,,Astorg 2008
2873,3012,3013,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",33.3,,,percentRoot,,276,Spearman,0.008,,,>= 0.05,No,,,,Astorg 2008
2874,3012,3014,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",0.57,,,percentRoot,,276,Spearman,-0.01,,,>= 0.05,No,,,,Astorg 2008
2875,3012,3015,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",0.51,,,percentRoot,,276,Spearman,-0.06,,,>= 0.05,No,,,,Astorg 2008
2876,3012,3016,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",0.23,,,percentRoot,,276,Spearman,-0.13,,,< 0.05,Yes,,,,Astorg 2008
2877,3012,3017,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Mead acid (cis-20:3n-9),"",0.14,,,percentRoot,,276,Spearman,-0.07,,,>= 0.05,No,,,,Astorg 2008
2878,3012,3018,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",1.54,,,percentRoot,,276,Spearman,-0.18,,,< 0.01,Yes,,,,Astorg 2008
2879,3012,3019,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",7.9,,,percentRoot,,276,Spearman,0.02,,,>= 0.05,No,,,,Astorg 2008
2880,3012,3020,Males,Middle-aged participants in a nested case-control study,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),,Dietary record (1-day),"Fatty acids, n3-polyunsaturated (n3-PUFA)",EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,0.2,,,percentEnergy,Energy,,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",1.36,,,percentRoot,,276,Spearman,0.25,,,< 0.001,Yes,,,,Astorg 2008
