ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
171,A three-day weighed food record and a semiquantitative food-frequency questionnaire are valid measures for assessing the folate and vitamin B-12 intakes of women aged 16 to 19 years,Green,"Green, T. J.; Allen, O. B.; O'Connor, D. L.",1998,J Nutr,128,10,1665-1671,9772134,,Observation,2,26,6,0,12,0,0
172,Validation of a food frequency questionnaire for use in a Scottish population: correlation of antioxidant vitamin intakes with biochemical measures,Bodner,"Bodner, C. H.; Soutar, A.; New, S. A.; Scaife, A. R.; Byres, M.; Henderson, G. D.; Brown, K.; Godden, D. J.",1998,J Hum Nutr Diet,11,5,373-380,,10.1046/j.1365-277X.1998.00119.x,Observation,4,20,8,0,16,0,0
173,Evaluation of a biological marker of dairy fat intake,Wolk,"Wolk, A.; Vessby, B.; Ljung, H.; Barrefors, P.",1998,Am J Clin Nutr,68,2,291-295,9701185,,Observation,4,22,3,0,48,0,0
174,Pentadecanoic acid in serum as a marker for intake of milk fat: relations between intake of milk fat and metabolic risk factors,Smedman,"Smedman, A. E.; Gustafsson, I. B.; Berglund, L. G.; Vessby, B. O.",1999,Am J Clin Nutr,69,1,22-29,9925119,,Observation,14,16,25,0,19,0,0
175,Associations of plasma carotenoid concentrations and dietary intake of specific carotenoids in samples of two prospective cohort studies using a new carotenoid database,Michaud,"Michaud, D. S.; Giovannucci, E. L.; Ascherio, A.; Rimm, E. B.; Forman, M. R.; Sampson, L.; Willett, W. C.",1998,Cancer Epidemiol Biomarkers Prev,7,4,283-290,9568782,,Observation,5,33,10,0,165,0,0
176,"Evaluation of a food frequency questionnaire with weighed records, fatty acids, and alpha-tocopherol in adipose tissue and serum",Andersen,"Andersen, L. F.; Solvoll, K.; Johansson, L. R.; Salminen, I.; Aro, A.; Drevon, C. A.",1999,Am J Epidemiol,150,1,75-87,10400557,,Observation,33,20,22,0,42,0,0
177,Relation between the intake of milk fat and the occurrence of conjugated linoleic acid in human adipose tissue,Jiang,"Jiang, J.; Wolk, A.; Vessby, B.",1999,Am J Clin Nutr,70,1,21-27,10393134,,Observation,18,32,17,0,12,0,0
178,Dietary iodine intake and urinary iodine excretion in normal Korean adults,Kim,"Kim, J. Y.; Moon, S. J.; Kim, K. R.; Sohn, C. Y.; Oh, J. J.",1998,Yonsei Med J,39,4,355-362,9752802,,Observation,1,3,3,0,1,0,0
180,Dietary soy intake and urinary isoflavone excretion among women from a multiethnic population,Maskarinec,"Maskarinec, G.; Singh, S.; Meng, L.; Franke, A. A.",1998,Cancer Epidemiol Biomarkers Prev,7,7,613-619,9681530,,Observation,7,24,42,0,4,0,0
181,Validity of a self-administered diet history questionnaire for assessment of sodium and potassium: comparison with single 24-hour urinary excretion,Sasaki,"Sasaki, S.; Yanagibori, R.; Amano, K.",1998,Jpn Circ J,62,6,431-435,9652319,,Observation,2,30,4,0,32,0,0
182,Serum caffeine and paraxanthine as markers for reported caffeine intake in pregnancy,Klebanoff,"Klebanoff, M. A.; Levine, R. J.; Dersimonian, R.; Clemens, J. D.; Wilkins, D. G.",1998,Ann Epidemiol,8,2,107-111,9491935,,Observation,2,0,0,0,4,0,0
183,The relation between dietary intake and adipose tissue composition of selected fatty acids in US women,Garland,"Garland, M.; Sacks, F. M.; Colditz, G. A.; Rimm, E. B.; Sampson, L. A.; Willett, W. C.; Hunter, D. J.",1998,Am J Clin Nutr,67,1,25-30,9440371,,Observation,12,52,11,0,42,0,0
184,Serum phospholipid fatty acid composition and habitual intake of marine foods registered by a semi-quantitative food frequency questionnaire,Hjartaker,"Hjartaker, A.; Lund, E.; Bjerve, K. S.",1997,Eur J Clin Nutr,51,11,736-742,9368807,,Observation,27,6,53,0,105,0,0
185,"Association between urinary potassium, urinary sodium, current diet, and bone density in prepubertal children",Jones,"Jones, G.; Riley, M. D.; Whiting, S.",2001,Am J Clin Nutr,73,4,839-844,11273862,,Observation,1,4,1,0,2,0,0
186,Serum beta-carotene and vitamin C as biomarkers of vegetable and fruit intakes in a community-based sample of French adults,Drewnowski,"Drewnowski, A.; Rock, C. L.; Henderson, S. A.; Shore, A. B.; Fischler, C.; Galan, P.; Preziosi, P.; Hercberg, S.",1997,Am J Clin Nutr,65,6,1796-1802,9174475,,Observation,2,12,8,0,8,0,0
187,Indexes of food and nutrient intakes as predictors of serum concentrations of nutrients: the problem of inadequate discriminant validity. The Polyp Prevention Trial Study Group,Marshall,"Marshall, J. R.; Lanza, E.; Bloch, A.; Caan, B.; Caggiula, A.; Quandt, S.; Iber, F.; Kikendall, W.; Slattery, M.; Sowell, A.",1997,Am J Clin Nutr,65,4 Suppl,1269S-1274S,9094932,,Observation,3,8,3,0,21,0,0
188,Relationships between dietary intakes and fasting plasma concentrations of fat-soluble vitamins in humans,Booth,"Booth, S. L.; Tucker, K. L.; McKeown, N. M.; Davidson, K. W.; Dallal, G. E.; Sadowski, J. A.",1997,J Nutr,127,4,587-592,9109609,,Observation,4,17,16,0,8,0,0
189,Relative validity and reproducibility of a diet history questionnaire in Spain. III. Biochemical markers,Gonzalez,EPIC Group of Spain,1997,Int J Epidemiol,26 Suppl 1,,S110-S117,9126539,10.1093/ije/26.suppl_1.S110,Observation,10,24,48,0,92,0,0
190,The Dutch EPIC food frequency questionnaire. II. Relative validity and reproducibility for nutrients,Ocke,"Ocke, M. C.; Bueno-de-Mesquita, H. B.; Pols, M. A.; Smit, H. A.; van Staveren, W. A.; Kromhout, D.",1997,Int J Epidemiol,26 Suppl 1,,S49-S58,9126533,,Observation,3,28,0,0,40,0,0
191,Reproducibility and relative validity of an extensive semi-quantitative food frequency questionnaire using dietary records and biochemical markers among Greek schoolteachers,Katsouyanni,"Katsouyanni, K.; Rimm, E. B.; Gnardellis, C.; Trichopoulos, D.; Polychronopoulos, E.; Trichopoulou, A.",1997,Int J Epidemiol,26 Suppl 1,,S118-S127,9126540,,Observation,3,30,0,0,11,0,0
192,New carotenoid values for foods improve relationship of food frequency questionnaire intake estimates to plasma values,Ritenbaugh,"Ritenbaugh, C.; Peng, Y. M.; Aickin, M.; Graver, E.; Branch, M.; Alberts, D. S.",1996,Cancer Epidemiol Biomarkers Prev,5,11,907-912,8922299,,Observation,4,40,20,0,40,0,0
193,Biomarkers of habitual fish intake in adipose tissue,Marckmann,"Marckmann, P.; Lassen, A.; Haraldsdottir, J.; Sandstrom, B.",1995,Am J Clin Nutr,62,5,956-959,7572741,,Observation,8,11,7,0,19,0,0
194,Biochemical validation of a self-administered semi-quantitative food-frequency questionnaire,Porrini,"Porrini, M.; Gentile, M. G.; Fidanza, F.",1995,Br J Nutr,74,3,323-333,7547847,,Observation,6,12,6,0,12,0,0
195,Plasma fatty acid composition as an indicator of habitual dietary fat intake in middle-aged adults,Ma,"Ma, J.; Folsom, A. R.; Shahar, E.; Eckfeldt, J. H.",1995,Am J Clin Nutr,62,3,564-571,7661118,,Observation,12,38,36,0,169,0,0
196,Erythrocyte levels compared with reported dietary intake of marine n-3 fatty acids in pregnant women,Olsen,"Olsen, S. F.; Hansen, H. S.; Sandstrom, B.; Jensen, B.",1995,Br J Nutr,73,3,387-395,7766562,,Observation,10,3,0,0,18,0,0
197,Omega-3 fatty acids in adipose tissue of obese patients with non-insulin-dependent diabetes mellitus reflect long-term dietary intake of eicosapentaenoic and docosahexaenoic acid,Popp-Snijders,"Popp-Snijders, C.; Blonk, M. C.",1995,Am J Clin Nutr,61,2,360-365,7840075,,Observation,19,18,54,3,21,0,0
198,Plasma carotenoids as biomarkers of vegetable and fruit intake,Campbell,"Campbell, D. R.; Gross, M. D.; Martini, M. C.; Grandits, G. A.; Slavin, J. L.; Potter, J. D.",1994,Cancer Epidemiol Biomarkers Prev,3,6,493-500,8000300,,Observation,8,8,7,0,72,0,0
199,"The correlation between the intake of lutein, lycopene and beta-carotene from vegetables and fruits, and blood plasma concentrations in a group of women aged 50-65 years in the UK",Scott,"Scott, K. J.; Thurnham, D. I.; Hart, D. J.; Bingham, S. A.; Day, K.",1996,Br J Nutr,75,3,409-418,8785214,10.1079/BJN19960143,Observation,3,10,15,3,15,0,0
200,Correlation between biomarkers of omega-3 fatty acid consumption and questionnaire data in African American and Caucasian United States males with and without prostatic carcinoma,Godley,"Godley, P. A.; Campbell, M. K.; Miller, C.; Gallagher, P.; Martinson, F. E.; Mohler, J. L.; Sandler, R. S.",1996,Cancer Epidemiol Biomarkers Prev,5,2,115-119,8850272,,Observation,2,0,0,0,20,0,0
201,Relationship between dietary intake and plasma concentrations of carotenoids in premenopausal women: application of the USDA-NCI carotenoid food-composition database,Yong,"Yong, L. C.; Forman, M. R.; Beecher, G. R.; Graubard, B. I.; Campbell, W. S.; Reichman, M. E.; Taylor, P. R.; Lanza, E.; Holden, J. M.; Judd, J. T.",1994,Am J Clin Nutr,60,2,223-230,8030600,,Observation,6,12,6,0,24,0,0
202,Contributions of vitamin D intake and seasonal sunlight exposure to plasma 25-hydroxyvitamin D concentration in elderly women,Salamone,"Salamone, L. M.; Dallal, G. E.; Zantos, D.; Makrauer, F.; Dawson-Hughes, B.",1994,Am J Clin Nutr,59,1,80-86,8279408,,Observation,1,10,10,0,6,0,0
203,The correlation between two dietary assessments of carotenoid intake and plasma carotenoid concentrations: application of a carotenoid food-composition database,Forman,"Forman, M. R.; Lanza, E.; Yong, L. C.; Holden, J. M.; Graubard, B. I.; Beecher, G. R.; Meltiz, M.; Brown, E. D.; Smith, J. C.",1993,Am J Clin Nutr,58,4,519-524,8379507,,Observation,6,12,12,0,24,0,0
204,"The accuracy of parental reports of their children's intake of fruits and vegetables: validation of a food frequency questionnaire with serum levels of carotenoids and vitamins C, A, and E",Byers,"Byers, T.; Trieber, F.; Gunter, E.; Coates, R.; Sowell, A.; Leonard, S.; Mokdad, A.; Jewell, S.; Miller, D.; Serdula, M.; et, a. l. ..",1993,Epidemiology,4,4,350-355,8347746,,Observation,9,12,12,0,28,0,0
205,Adipose tissue fatty acids as biomarkers of dietary exposure in Danish men and women,Tjonneland,"Tjonneland, A.; Overvad, K.; Thorling, E.; Ewertz, M.",1993,Am J Clin Nutr,57,5,629-633,8480677,,Observation,34,20,60,0,91,0,0
206,Toenail selenium as an indicator of selenium intake among middle-aged men in an area with low soil selenium,Ovaskainen,"Ovaskainen, M. L.; Virtamo, J.; Alfthan, G.; Haukka, J.; Pietinen, P.; Taylor, P. R.; Huttunen, J. K.",1993,Am J Clin Nutr,57,5,662-665,8480683,,Observation,1,5,3,0,3,0,0
207,Comparison of micronutrient intake measured by a dietary questionnaire and biochemical indicators of micronutrient status,Jacques,"Jacques, P. F.; Sulsky, S. I.; Sadowski, J. A.; Phillips, J. C.; Rush, D.; Willett, W. C.",1993,Am J Clin Nutr,57,2,182-189,8424386,,Observation,7,58,28,0,42,0,0
208,Determinants of plasma ascorbic acid in a healthy male population,Sinha,"Sinha, R.; Block, G.; Taylor, P. R.",1992,Cancer Epidemiol Biomarkers Prev,1,4,297-302,1303130,,Observation,2,1,3,0,4,0,0
209,Correlations of vitamin A and E intakes with the plasma concentrations of carotenoids and tocopherols among American men and women,Ascherio,"Ascherio, A.; Stampfer, M. J.; Colditz, G. A.; Rimm, E. B.; Litin, L.; Willett, W. C.",1992,J Nutr,122,9,1792-1801,1512628,,Observation,11,12,20,0,40,0,0
210,Fatty acid composition of subcutaneous adipose tissue and diet in postmenopausal US women,London,"London, S. J.; Sacks, F. M.; Caesar, J.; Stampfer, M. J.; Siguel, E.; Willett, W. C.",1991,Am J Clin Nutr,54,2,340-345,1858698,,Observation,42,27,40,0,25,0,0
211,Antioxidant vitamin intakes assessed using a food-frequency questionnaire: correlation with biochemical status in smokers and non-smokers,Bolton-Smith,"Bolton-Smith, C.; Casey, C. E.; Gey, K. F.; Smith, W. C.; Tunstall-Pedoe, H.",1991,Br J Nutr,65,3,337-346,1878353,,Observation,7,12,16,0,22,0,0
212,Relative and biomarker-based validity of a food-frequency questionnaire estimating intake of fats and cholesterol,Feunekes,"Feunekes, G. I.; Van Staveren, W. A.; De Vries, J. H.; Burema, J.; Hautvast, J. G.",1993,Am J Clin Nutr,58,4,489-496,8379504,,Observation,7,12,12,0,48,0,0
213,"Dietary intake of aflatoxins and the level of albumin-bound aflatoxin in peripheral blood in The Gambia, West Africa",Wild,"Wild, C. P.; Hudson, G. J.; Sabbioni, G.; Chapot, B.; Hall, A. J.; Wogan, G. N.; Whittle, H.; Montesano, R.; Groopman, J. D.",1992,Cancer Epidemiol Biomarkers Prev,1,3,229-234,1339083,,Observation,1,1,0,0,1,0,0
214,Human plasma fatty acid variations and how they are related to dietary intake,Lopes,"Lopes, S. M.; Trimbo, S. L.; Mascioli, E. A.; Blackburn, G. L.",1991,Am J Clin Nutr,53,3,628-637,2000815,,Observation,20,54,228,0,122,0,0
215,Estimation of protein intake: comparison of dietary assessment and urinary excretion,Wassertheil-Smoller,"Wassertheil-Smoller, S.; Langford, H. G.; Yamori, Y.; Blaufox, M. D.; Oberman, A.; Davis, B.; Nara, Y.; Wylie-Rosett, J.; Zimbaldi, N.",1990,J Cardiovasc Pharmacol,16 Suppl 8,,S28-S31,1706024,,Observation,3,10,15,0,18,0,0
216,Relationship between the fatty acid composition of the diet and that of the subcutaneous adipose tissue in individual human subjects,Plakke,"Plakke, T.; Berkel, J.; Beynen, A. C.; Hermus, R. J.; Katan, M. B.",1983,Hum Nutr Appl Nutr,37,5,365-372,6668222,,Observation,7,39,3,0,63,0,0
217,Validation of a dietary questionnaire with plasma carotenoid and alpha-tocopherol levels,Willett,"Willett, W. C.; Stampfer, M. J.; Underwood, B. A.; Speizer, F. E.; Rosner, B.; Hennekens, C. H.",1983,Am J Clin Nutr,38,4,631-639,6624705,,Observation,3,3,3,0,21,0,0
218,Validation of an FFQ for evaluation of EPA and DHA intake,Lucas,"Lucas, M.; Asselin, G.; Merette, C.; Poulin, M. J.; Dodin, S.",2009,Public Health Nutr,12,10,1783-1790,19102810,10.1017/S1368980008004333,Observation,4,3,0,0,3,0,0
220,"Cytochrome P450 (CYP) and glutathione S-transferases (GST) polymorphisms (CYP1A1, CYP1B1, GSTM1, GSTP1 and GSTT1) and urinary levels of 1-hydroxypyrene in Turkish coke oven workers",Ada,"Ada, A. O.; Yilmazer, M.; Suzen, S.; Demiroglu, C.; Demirbag, A. E.; Efe, S.; Alemdar, Y.; Burgaz, S.; Iscan, M.",2007,Genet Mol Biol,30,3,511-519,,,Observation,1,0,6,0,0,0,0
221,"Biomonitoring of polycyclic aromatic hydrocarbon exposure in pregnant women in Trujillo, Peru--comparison of different fuel types used for cooking",Adetona,"Adetona, O.; Li, Z.; Sjodin, A.; Romanoff, L. C.; Aguilar-Villalobos, M.; Needham, L. L.; Hall, D. B.; Cassidy, B. E.; Naeher, L. P.",2013,Environ Int,53,,1-8,23314038,10.1016/j.envint.2012.11.010,Observation,10,0,60,0,0,0,0
222,CYP1A1 and GSTM1 polymorphisms affect urinary 1-hydroxypyrene levels after PAH exposure,Alexandrie,"Alexandrie, A. K.; Warholm, M.; Carstensen, U.; Axmon, A.; Hagmar, L.; Levin, J. O.; Ostman, C.; Rannug, A.",2000,Carcinogenesis,21,4,669-676,10753202,,Observation,1,0,4,0,0,0,0
223,Influence of genetic polymorphisms of CYP1A1 and GSTM1 on the urinary levels of 1-hydroxypyrene,Apostoli,"Apostoli, P.; Neri, G.; Lucas, D.; Manno, M.; Berthou, F.",2003,Toxicol Lett,144,1,27-34,12919721,,Observation,1,0,8,0,0,0,0
224,Simultaneous determination of nicotine and PAH metabolites in human hair specimen: A potential methodology to assess tobacco smoke contribution in PAH exposure,Appenzeller,"Appenzeller, B. M.; Mathon, C.; Schummer, C.; Alkerwi, A.; Lair, M. L.",2012,Toxicol Lett,210,2,211-219,22155355,10.1016/j.toxlet.2011.11.022,Observation,13,0,39,0,0,0,0
225,Biomarkers for exposure to ambient air pollution--comparison of carcinogen-DNA adduct levels with other exposure markers and markers for oxidative stress,Autrup,"Autrup, H.; Daneshvar, B.; Dragsted, L. O.; Gamborg, M.; Hansen, M.; Loft, S.; Okkels, H.; Nielsen, F.; Nielsen, P. S.; Raffn, E.; Wallin, H.; Knudsen, L. E.",1999,Environ Health Perspect,107,3,233-238,10064554,,Observation,3,0,9,0,0,0,0
226,"DNA-adducts in subjects exposed to urban air pollution by benzene and polycyclic aromatic hydrocarbons (PAHs) in Cotonou, Benin",Ayi-Fanou,"Ayi-Fanou, L.; Avogbe, P. H.; Fayomi, B.; Keith, G.; Hountondji, C.; Creppy, E. E.; Autrup, H.; Rihn, B. H.; Sanni, A.",2011,Environ Toxicol,26,1,93-102,20014405,10.1002/tox.20533,Observation,3,0,18,0,0,0,0
227,Exposures to particulate matter and polycyclic aromatic hydrocarbons and oxidative stress in schoolchildren,Bae,"Bae, S.; Pan, X. C.; Kim, S. Y.; Park, K.; Kim, Y. H.; Kim, H.; Hong, Y. C.",2010,Environ Health Perspect,118,4,579-583,20368125,10.1289/ehp.0901077,Observation,2,0,8,0,0,0,0
228,Biomarker studies in northern Bohemia,Binkova,"Binkova, B.; Lewtas, J.; Miskova, I.; Rossner, P.; Cerna, M.; Mrackova, G.; Peterkova, K.; Mumford, J.; Meyer, S.; Sram, R.",1996,Environ Health Perspect,104 Suppl 3,,591-597,8781388,,Observation,2,0,8,0,0,0,0
229,Concentrations and profiles of urinary polycyclic aromatic hydrocarbon metabolites (OH-PAHs) in several Asian countries,Guo,"Guo, Y.; Senthilkumar, K.; Alomirah, H.; Moon, H. B.; Minh, T. B.; Mohd, M. A.; Nakata, H.; Kannan, K.",2013,Environ Sci Technol,47,6,2932-2938,23409981,10.1021/es3052262,Observation,8,0,56,0,0,0,0
231,"Korea National Survey for Environmental Pollutants in the human body 2008: 1-hydroxypyrene, 2-naphthol, and cotinine in urine of the Korean population",Sul,"Sul, D.; Ahn, R.; Im, H.; Oh, E.; Kim, J. H.; Kim, J. G.; Kim, P.; Kim, H. A.; Park, W. Y.; Son, B. S.; Shin, D.; Shim, A. S.; Yang, W.; Yu, S. D.; Lee, K. H.; Lee, K. J.; Lee, S. D.; Lee, J. W.; Lee, C. K.; Jang, B. K.; Choi, K.; Han, D. H.; Hwang, M. Y.",2012,Environ Res,118,,25-30,22939007,10.1016/j.envres.2012.07.010,Observation,3,0,15,0,0,0,0
232,German Environmental Survey 1998 (GerES III): environmental pollutants in the urine of the German population,Becker,"Becker, K.; Schulz, C.; Kaus, S.; Seiwert, M.; Seifert, B.",2003,Int J Hyg Environ Health,206,1,15-24,12621899,10.1078/1438-4639-00188,Observation,15,0,33,0,0,0,0
233,Levels of 1-hydroxypyrene and other monohydroxy polycyclic aromatic hydrocarbons in children: A study based on U.S. reference range values,Huang,"Huang, W.; Caudill, S. P.; Grainger, J.; Needham, L. L.; Patterson, D. G. Jr",2006,Toxicol Lett,163,1,10-19,16466866,10.1016/j.toxlet.2005.08.003,Observation,1,0,9,0,0,0,0
234,Exposure to polycyclic aromatic hydrocarbons associated with traffic exhaust: the increase of lipid peroxidation and reduction of antioxidant capacity,Lai,"Lai, C. H.; Liou, S. H.; Jaakkola, J. J. K.; Huang, H. B.; Su, T. Y.; Strickland, P. T.",2012,Aerosol Air Qual Res,12,5,941-950,,10.4209/aaqr.2012.01.0021,Observation,1,0,6,0,0,0,0
235,"Assessment of DDT, DDE, and 1-hydroxypyrene levels in blood and urine samples in children from Chiapas Mexico",Martinez-Salinas,"Martinez-salinas, R. I.; Perez-Maldonado, I. N.; Batres-Esquivel, L. E.; Flores-Ramirez, R.; Diaz-Barriga, F.",2012,Environ Sci Pollut Res Int,19,7,2658-2666,22282017,10.1007/s11356-012-0758-7,Observation,3,0,18,0,0,0,0
236,Polycyclic aromatic hydrocarbon (1-OHPG and 2-naphthol) and oxidative stress (malondialdehyde) biomarkers in urine among Korean adults and children,Yoon,"Yoon, H. S.; Lee, K. M.; Lee, K. H.; Kim, S.; Choi, K.; Kang, D.",2012,Int J Hyg Environ Health,215,4,458-464,22436105,10.1016/j.ijheh.2012.02.007,Observation,2,0,50,0,0,0,0
237,Excretion profiles and half-lives of ten urinary polycyclic aromatic hydrocarbon metabolites after dietary exposure,Li,"Li, Z.; Romanoff, L.; Bartell, S.; Pittman, E. N.; Trinidad, D. A.; McClean, M.; Webster, T. F.; Sjodin, A.",2012,Chem Res Toxicol,25,7,1452-1461,22663094,10.1021/tx300108e,Intervention,10,0,30,0,0,0,0
238,Concentration and profile of 22 urinary polycyclic aromatic hydrocarbon metabolites in the US population,Li,"Li, Z.; Sandau, C. D.; Romanoff, L. C.; Caudill, S. P.; Sjodin, A.; Needham, L. L.; Patterson, D. G. Jr",2008,Environ Res,107,3,320-331,18313659,10.1016/j.envres.2008.01.013,Observation,11,0,44,0,0,0,0
239,Urinary 1-hydroxypyrene as a biomarker of PAH exposure in 3-year-old Ukrainian children,Mucha,"Mucha, A. P.; Hryhorczuk, D.; Serdyuk, A.; Nakonechny, J.; Zvinchuk, A.; Erdal, S.; Caudill, M.; Scheff, P.; Lukyanova, E.; Shkiryak-Nyzhnyk, Z.; Chislovska, N.",2006,Environ Health Perspect,114,4,603-609,16581553,,Observation,1,0,6,0,0,0,0
240,DNA adduct levels and DNA repair polymorphisms in traffic-exposed workers and a general population sample,Palli,"Palli, D.; Russo, A.; Masala, G.; Saieva, C.; Guarrera, S.; Carturan, S.; Munnia, A.; Matullo, G.; Peluso, M.",2001,Int J Cancer,94,1,121-127,11668486,10.1002/ijc.1433,Observation,1,0,10,0,0,0,0
241,Environmental exposure of small children to polycyclic aromatic hydrocarbons,Fiala,"Fiala, Z.; Vyskocil, A.; Krajak, V.; Viau, C.; Ettlerova, E.; Bukac, J.; Fialova, D.; Emminger, S.",2001,Int Arch Occup Environ Health,74,6,411-420,11563604,,Observation,1,0,32,0,0,0,0
242,Biomarkers of polycyclic aromatic hydrocarbon-DNA damage and cigarette smoke exposures in paired maternal and newborn blood samples as a measure of differential susceptibility,Whyatt,"Whyatt, R. M.; Jedrychowski, W.; Hemminki, K.; Santella, R. M.; Tsai, W. Y.; Yang, K.; Perera, F. P.",2001,Cancer Epidemiol Biomarkers Prev,10,6,581-588,11401906,,Observation,3,0,24,0,0,0,0
243,HPLC/fluorescence determination of anti-BPDE-DNA adducts in mononuclear white blood cells from PAH-exposed humans,Pavanello,"Pavanello, S.; Favretto, D.; Brugnone, F.; Mastrangelo, G.; Dal Pra, G.; Clonfero, E.",1999,Carcinogenesis,20,3,431-435,10190558,,Observation,2,0,10,0,0,0,0
244,"Evaluation of intra- and interindividual variation of urinary 1-hydroxypyrene, a biomarker of exposure to polycyclic aromatic hydrocarbons",Siwinska,"Siwinska, E.; Mielzynska, D.; Smolik, E.; Bubak, A.; Kwapulinski, J.",1998,Sci Total Environ,217,1-2,175-183,9695181,,Observation,1,0,6,0,0,0,0
245,Biological monitoring of young workers exposed to polycyclic aromatic hydrocarbons in engine repair workshops,Karahalil,"Karahalil, B.; Burgaz, S.; Fisek, G.; Karakaya, A. E.",1998,Mutat Res,412,3,261-269,9600694,,Observation,1,0,6,0,0,0,0
246,Urinary 1 -hydroxypyrene levels of garbage collectors with low-level exposure to polycyclic aromatic hydrocarbons,Hara,"Hara, K.; Hanaoka, T.; Yamano, Y.; Itani, T.",1997,Sci Total Environ,199,1-2,159-164,9200859,,Observation,1,0,6,0,0,0,0
247,Exposure to polycyclic aromatic hydrocarbons among Dutch children,van Wijnen,"van Wijnen, J. H.; Slob, R.; Jongmans-Liedekerken, G.; van de Weerdt, R. H.; Woudenberg, F.",1996,Environ Health Perspect,104,5,530-534,8743441,,Observation,1,0,7,0,0,0,0
248,Exposure to urban and rural air pollution: DNA and protein adducts and effect of glutathione-S-transferase genotype on adduct levels,Nielsen,"Nielsen, P. S.; Okkels, H.; Sigsgaard, T.; Kyrtopoulos, S.; Autrup, H.",1996,Int Arch Occup Environ Health,68,3,170-176,8919845,,Observation,2,0,5,0,0,0,0
249,Immunologic measurement of polycyclic aromatic hydrocarbon-albumin adducts in foundry workers and roofers,Lee,"Lee, B. M.; Yin, B. Y.; Herbert, R.; Hemminki, K.; Perera, F. P.; Santella, R. M.",1991,Scand J Work Environ Health,17,3,190-194,2068558,,Observation,1,0,10,0,0,0,0
250,Assessment of multipathway exposure of small children to PAH,Vyskocil,"Vyskocil, A.; Fiala, Z.; Chenier, V. V; Krajak, L.; Ettlerova, E.; Bukac, J.; Viau, C.; Emminger, S.",2000,Environ Toxicol Pharmacol,8,2,111-118,10867370,,Observation,1,0,16,0,0,0,0
251,Traffic-related air pollution and DNA damage: a longitudinal study in Taiwanese traffic conductors,Huang,"Huang, H. B.; Lai, C. H.; Chen, G. W.; Lin, Y. Y.; Jaakkola, J. J.; Liou, S. H.; Wang, S. L.",2012,PLoS One,7,5,e37412,22629390,10.1371/journal.pone.0037412,Observation,1,0,4,0,0,0,0
252,Exposure and kinetics of polycyclic aromatic hydrocarbons (PAHs) in cigarette smokers,St Helen,"St Helen, G.; Goniewicz, M. L.; Dempsey, D.; Wilson, M.; Jacob, P. 3rd; Benowitz, N. L.",2012,Chem Res Toxicol,25,4,952-964,22428611,10.1021/tx300043k,Observation,7,0,28,0,0,0,0
253,Environmental polycyclic aromatic hydrocarbon (PAH) exposure and DNA damage in Mexican children,Sanchez-Guerra,"Sanchez-Guerra, M.; Pelallo-Martinez, N.; Diaz-Barriga, F.; Rothenberg, S. J.; Hernandez-Cadena, L.; Faugeron, S.; Oropeza-Hernandez, L. F.; Guaderrama-Diaz, M.; Quintanilla-Vega, B.",2012,Mutat Res,742,1-2,66-71,22198330,10.1016/j.mrgentox.2011.12.006,Observation,1,0,3,0,0,0,0
254,Urinary levels of 1-hydroxypyrene in children residing near a coal-fired power plant,Hu,"Hu, S. W.; Chan, Y. J.; Hsu, H. T.; Wu, K. Y.; ChangChien, G. P.; Shie, R. H.; Chan, C. C.",2011,Environ Res,111,8,1185-1191,21803351,10.1016/j.envres.2011.07.004,Observation,1,0,5,0,0,0,0
255,"Exposure to polycyclic aromatic hydrocarbons, arsenic and environmental tobacco smoke, nutrient intake, and oxidative stress in Japanese preschool children",Mori,"Mori, T.; Yoshinaga, J.; Suzuki, K.; Mizoi, M.; Adachi, S.; Tao, H.; Nakazato, T.; Li, Y. S.; Kawai, K.; Kasai, H.",2011,Sci Total Environ,409,15,2881-2887,21570106,10.1016/j.scitotenv.2011.04.028,Observation,2,0,2,0,0,0,0
256,"Association between urinary polycyclic aromatic hydrocarbon metabolites and sperm DNA damage: a population study in Chongqing, China",Han,"Han, X.; Zhou, N.; Cui, Z.; Ma, M.; Li, L.; Cai, M.; Li, Y.; Lin, H.; Li, Y.; Ao, L.; Liu, J.; Cao, J.",2011,Environ Health Perspect,119,5,652-657,21147605,10.1289/ehp.1002340,Observation,4,0,4,0,0,0,0
257,Seasonal variations in the levels of PAH–DNA adducts in young adults living in Mexico City,Garcia-Suastegui,"Garcia-Suastegui, W. A.; Huerta-Chagoya, A.; Carrasco-Colin, K. L.; Pratt, M. M.; John, K.; Petrosyan, P.; Rubio, J.; Poirier, M. C.; Gonsebatt, M. E.",2011,Mutagenesis,26,3,385-391,21193517,10.1093/mutage/geq104,Observation,1,0,4,0,0,0,0
258,Fruit and vegetable intake influences the association between exposure to polycyclic aromatic hydrocarbons and a marker of oxidative stress in pregnant women,Kim,"Kim, H.; Hwang, J. Y.; Ha, E. H.; Park, H.; Ha, M.; Lee, S. H.; Hong, Y. C.; Chang, N.",2011,Eur J Clin Nutr,65,10,1118-1125,21587280,10.1038/ejcn.2011.77,Observation,2,0,2,0,0,0,0
