ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,No. of cases,No. of controls,Biospecimen,Analytical method,Biomarker,Biomarker detail,Cancer,Study design,Publication
546,21539,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,cis-beta-Carotenes,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
549,21542,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Lutein,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
550,21543,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,cis-Lutein/Zeaxanthin,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
551,21544,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,trans-Anhydroluteins,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
552,21545,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,cis-Anhydroluteins,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
553,21546,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Zeaxanthin,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
554,21547,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,alpha-Cryptoxanthin,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
555,21548,All,Lung cancer cases and their controls,China,SCS (Shanghai Cohort Study),596,152,444,"Serum, non-fasting",HPLC,beta-Cryptoxanthin,"",Lung cancer,Nested case-control study,Stram 2007
556,21549,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,Lycopene,"",Prostate cancer,Nested case-control study,Peters 2007
557,21550,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,alpha-Carotene,"",Prostate cancer,Nested case-control study,Peters 2007
558,21551,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,beta-Carotene,"",Prostate cancer,Nested case-control study,Peters 2007
559,21552,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,beta-Cryptoxanthin,"",Prostate cancer,Nested case-control study,Peters 2007
560,21553,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,Lutein,"",Prostate cancer,Nested case-control study,Peters 2007
561,21554,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1536,692,844,"Serum, non-fasting",HPLC,Zeaxanthin,"",Prostate cancer,Nested case-control study,Peters 2007
562,21555,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1016,508,508,"Plasma, unspecified",HPLC,Lycopene,"",Breast cancer,Nested case-control study,Sesso 2005
563,21556,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1016,508,508,"Plasma, unspecified",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Sesso 2005
564,21557,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1016,508,508,"Plasma, unspecified",HPLC,Lutein/Zeaxanthin,"",Breast cancer,Nested case-control study,Sesso 2005
565,21558,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1016,508,508,"Plasma, unspecified",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Sesso 2005
566,21559,All,Breast cancer cases and their controls,United States,WHS (Women’s Health Study),1016,508,508,"Plasma, unspecified",HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Sesso 2005
567,21560,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),900,450,450,"Plasma, unspecified",HPLC,Lutein/Zeaxanthin,"",Prostate cancer,Nested case-control study,Wu 2004
568,21561,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),900,450,450,"Plasma, unspecified",HPLC,beta-Cryptoxanthin,"",Prostate cancer,Nested case-control study,Wu 2004
569,21562,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),900,450,450,"Plasma, unspecified",HPLC,alpha-Carotene,"",Prostate cancer,Nested case-control study,Wu 2004
570,21563,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),900,450,450,"Plasma, unspecified",HPLC,beta-Carotene,"",Prostate cancer,Nested case-control study,Wu 2004
571,21564,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),900,450,450,"Plasma, unspecified",HPLC,Lycopene,"",Prostate cancer,Nested case-control study,Wu 2004
572,21565,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,Lutein,"",Breast cancer,Nested case-control study,Toniolo 2001
573,21566,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,Zeaxanthin,"",Breast cancer,Nested case-control study,Toniolo 2001
574,21568,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Toniolo 2001
575,21569,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,Lycopene,"",Breast cancer,Nested case-control study,Toniolo 2001
576,21570,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Toniolo 2001
577,21571,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Toniolo 2001
578,21567,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene,Breast cancer,Nested case-control study,Toniolo 2001
579,21572,All,Breast cancer cases and their controls,United States,NYUWHS (New York University Women's Health Study),540,270,270,"Serum, non-fasting",HPLC,Retinol,"",Breast cancer,Nested case-control study,Toniolo 2001
580,21573,All,Hepatocellular carcinoma cases and their controls,Taiwan,Male adults in Taiwan,175,35,140,"Serum, unspecified",HPLC,Retinol,"",Liver cancer,Nested case-control study,Yu 1995
581,21574,All,Breast cancer cases,United States,Sister Study,3386,1611,1775,"Serum, unspecified",LC-MS,25-Hydroxycholecalciferol,"",Breast cancer,Case-cohort study,O'Brien 2017
582,21575,All,Prostate cancer cases,United States,SELECT (Selenium and Vitamin E Cancer Prevention Trial),4733,1731,3002,"Plasma, fasting and non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Prostate cancer,Case-cohort study,Kristal 2014
583,21576,All,Prostate cancer cases,United States,MrOS (Osteoporotic Fractures in Men),1648,297,1351,"Serum, unspecified",LC-MS,25-Hydroxycholecalciferol,"",Prostate cancer,Case-cohort study,Barnett 2010
584,21577,All,Oesophageal and gastric cancer cases,China,General Population Trial in Linxian,2018,979,1039,"Serum, unspecified",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Gastric and oesophageal cancer,Case-cohort study,Chen 2007
590,21581,All,"Basal cell carcinoma, squamous cell carcinoma, and melanoma cases",Australia,Nambour Skin Cancer Study,1191,493,,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Skin cancer,Prospective cohort study,van der Pols 2013
593,21582,All,Prostate cancer cases,Germany,ESTHER,4124,171,,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Prostate cancer,Prospective cohort study,Ordonez-Mena 2013
594,21739,All,Breast cancer cases,Germany,ESTHER,5261,137,,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Prospective cohort study,Ordonez-Mena 2013
595,21740,All,Lung cancer cases,Germany,ESTHER,9561,136,,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Lung cancer,Prospective cohort study,Ordonez-Mena 2013
596,21741,All,Colorectal cancer cases,Germany,ESTHER,9482,136,,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Prospective cohort study,Ordonez-Mena 2013
597,21583,All,Non-melanoma and melanoma skin cancer cases,Denmark,Copenhagen City Heart Study,10060,668,,"Plasma, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Skin cancer,Prospective cohort study,Afzal 2013
606,21585,All,Lung cancer cases,Finland,Finnish Mobile Clinic Surveys,6937,122,,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Lung cancer,Prospective cohort study,Kilkkinen 2008
607,21586,All,Prostate cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),603,201,402,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Sawada 2017
608,21587,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",678,226,452,"Serum, non-fasting",LC-MS,25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Layne 2017
609,21588,All,Colorectal cancer cases and their controls,United States,SCCS (Southern Community Cohort Study),664,224,440,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Andersen 2017
610,21589,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study),1067,378,689,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Song 2016
611,21590,All,Breast cancer cases and their controls,Sweden,MDCS (Malmö Diet and Cancer Study),1528,764,764,"Serum, non-fasting",HPLC,25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Shirazi 2016
612,21591,All,Head and neck cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),700,350,350,"Plasma, fasting and non-fasting",LC-MS,25-Hydroxycholecalciferol,"",Head and neck cancer,Nested case-control study,Fanidi 2016
614,21592,All,Breast cancer cases and their controls,United States,NHS (Nurses' Health Study),3012,1506,1506,"Plasma, fasting and non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Eliassen 2016
615,21593,All,Prostate cancer cases and their controls,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),296,129,167,"Plasma, fasting",Competitive protein-binding assay (CPBA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Deschasaux 2016
616,21594,All,Colorectal cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",952,476,476,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Weinstein 2015
617,21595,All,Pancreatic cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",882,295,587,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Pancreatic cancer,Nested case-control study,Piper 2015
618,21596,All,Colorectal cancer cases and their controls,United States,WHS (Women’s Health Study),548,274,274,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Chandler 2015
621,21597,All,Prostate cancer cases and their controls,United States,PCPT (Prostate Cancer Prevention Trial),3377,1695,1682,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Schenk 2014
622,21598,All,Renal cell carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),1670,560,1110,"Plasma, fasting and non-fasting",LC-MS,25-Hydroxycholecalciferol,"",Kidney cancer,Nested case-control study,Muller 2014
623,21599,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",524,262,262,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Kidney cancer,Nested case-control study,Mondul 2014
624,21600,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1414,707,707,"Plasma, fasting and non-fasting",LC-ID-MS/MS,25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Kim 2014
625,21601,All,Hepatocellular carcinoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),276,138,138,"Serum, fasting and non-fasting",LC-MS,25-Hydroxycholecalciferol,"",Liver cancer,Nested case-control study,Fedirko 2014
626,21602,All,Colorectal cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",832,416,416,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Anic 2014
627,21603,All,Prostate cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",1914,950,964,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Weinstein 2013
628,21604,All,Liver cancer cases and their controls,China,Linxian NITs (Linxian Nutrition Intervention Trials),1289,226,1063,"Serum, unspecified",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Liver cancer,Nested case-control study,Wang 2013
629,21605,All,Prostate cancer cases and their controls,Norway,Janus Serum Bank,4212,2106,2106,"Serum, non-fasting",HPLC,Retinol,"",Prostate cancer,Nested case-control study,Meyer 2013
630,21606,All,Prostate cancer cases and their controls,Norway,Janus Serum Bank,4212,2106,2106,"Serum, non-fasting",LC-MS,25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Meyer 2013
631,21607,All,Lymphoma cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),2254,1127,1127,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Lymphoid cancer,Nested case-control study,Luczynska 2013
632,21608,All,Breast cancer cases and their controls,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),2782,1391,1391,"Plasma, fasting and non-fasting",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Kuhn 2013
635,21611,All,Colorectal cancer cases and their controls,United States,WHI-CT (Women's Health Initiative Clinical Trial),620,310,310,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Neuhouser 2012
636,21612,All,Breast cancer cases and their controls,United States,WHI-CT (Women's Health Initiative Clinical Trial),2160,1080,1080,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Neuhouser 2012
637,21613,All,Bladder cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",500,250,250,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Bladder cancer,Nested case-control study,Mondul 2012
638,21614,All,Bladder cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",733,369,364,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Bladder cancer,Nested case-control study,Mondul 2012
639,21615,All,Melanoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",368,92,276,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Skin cancer,Nested case-control study,Major 2012
640,21616,All,Prostate cancer cases and their controls,Sweden,MDCS (Malmö Diet and Cancer Study),1886,943,943,"Serum, non-fasting",HPLC,25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Brandstedt 2012
641,21619,All,Lung cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",1000,500,500,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Lung cancer,Nested case-control study,Weinstein 2011
642,21620,All,Colorectal cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",856,428,428,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Weinstein 2011
644,21622,All,Colorectal cancer cases and their controls,United States,PHS (Physicians' Health Study),618,229,389,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Lee 2011
645,21623,All,Colorectal cancer cases and their controls,United States,PHS (Physicians' Health Study),618,229,389,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Colon and rectal cancer,Nested case-control study,Lee 2011
650,21624,All,Breast cancer cases and their controls,United States,NHS (Nurses' Health Study),1831,613,1218,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Eliassen 2011
651,21625,All,Head and neck cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",680,340,340,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Head and neck cancer,Nested case-control study,Arem 2011
655,21629,All,Colorectal cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),663,229,434,"Plasma, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Woolcott 2010
658,21632,All,Ovarian cancer cases and their controls,Finland,FMC (Finnish Maternity Cohort),344,172,172,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Ovarian cancer,Nested case-control study,Toriola 2010
659,21633,All,Ovarian cancer cases and their controls,Finland,FMC (Finnish Maternity Cohort),798,201,597,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Ovarian cancer,Nested case-control study,Toriola 2010
660,21634,All,Non-melanoma skin cancer cases and their controls,United States,MrOS (Osteoporotic Fractures in Men),1108,178,930,"Serum, fasting",LC-MS,25-Hydroxycholecalciferol,"",Skin cancer,Nested case-control study,Tang 2010
661,21635,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),985,329,656,"Plasma, fasting",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Park 2010
662,21636,All,Bladder cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",500,250,250,"Serum, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Bladder cancer,Nested case-control study,Mondul 2010
663,21637,All,Colorectal cancer cases and their controls,France,EPIC (European Prospective Investigation into Cancer and Nutrition),2496,1248,1248,Serum or Plasma,Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Jenab 2010
667,21640,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1908,636,1272,"Serum, fasting and non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Engel 2010
668,21641,All,Basal cell carcinoma cases and their controls,United States,Kaiser Permanente Northern California (KPNC),440,220,220,"Serum, unspecified",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Skin cancer,Nested case-control study,Asgari 2010
669,21642,All,Breast cancer cases and their controls,Sweden,MDCS (Malmö Diet and Cancer Study),1528,764,764,"Serum, non-fasting",HPLC,25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Almquist 2010
670,21643,All,Breast cancer cases and their controls,Finland,FMC (Finnish Maternity Cohort),200,100,100,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Agborsangaya 2010
671,21644,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),1404,652,752,"Serum, fasting and non-fasting",Enzyme immunoassay (EIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Travis 2009
672,21645,All,Pancreatic cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",552,184,368,"Serum, non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Pancreatic cancer,Nested case-control study,Stolzenberg-Solomon 2009
673,21646,All,Breast cancer cases and their controls,Denmark,Women referred to a diagnostic mammography examination,562,142,420,"Plasma, unspecified",LC-ID-MS/MS,25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Rejnmark 2009
674,21647,All,Breast cancer cases and their controls,United States,CPS (Cancer Prevention Study),1032,516,516,"Serum, non-fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,McCullough 2009
675,21648,All,Lymphoid cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",808,270,538,"Serum, fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Lymphoid cancer,Nested case-control study,Lim 2009
676,21649,All,Breast cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",2010,1005,1005,"Serum, non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Freedman 2008
677,21650,All,Breast cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",2010,1005,1005,"Serum, non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Breast cancer,Nested case-control study,Freedman 2008
678,21651,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1530,749,781,"Serum, non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Ahn 2008
679,21652,All,Colorectal cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1125,375,750,"Plasma, fasting and non-fasting",Competitive protein-binding assay (CPBA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Otani 2007
682,21655,All,Prostate cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",592,296,296,"Serum, fasting",Enzyme-linked immunosorbent assay (ELISA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Faupel-Badger 2007
684,21657,All,Pancreatic cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",600,200,400,"Serum, fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Pancreatic cancer,Nested case-control study,Stolzenberg-Solomon 2006
685,21658,All,Breast cancer cases and their controls,United States,NHS (Nurses' Health Study),1425,701,724,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Breast cancer,Nested case-control study,Bertone-Johnson 2005
686,21659,All,Breast cancer cases and their controls,United States,NHS (Nurses' Health Study),1425,701,724,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Breast cancer,Nested case-control study,Bertone-Johnson 2005
687,21660,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),920,460,460,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Platz 2004
688,21661,All,Prostate cancer cases and their controls,United States,HPFS (Health Professionals Follow-Up Study),920,460,460,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Prostate cancer,Nested case-control study,Platz 2004
689,21662,All,Prostate cancer cases and their controls,United States,NPC (Nutritional Prevention of Cancer) trial,249,83,166,"Plasma, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Jacobs 2004
690,21663,All,Prostate cancer cases and their controls,United States,NPC (Nutritional Prevention of Cancer) trial,249,83,166,"Plasma, unspecified",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Prostate cancer,Nested case-control study,Jacobs 2004
691,21664,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study),576,193,383,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Feskanich 2004
692,21665,All,Colorectal cancer cases and their controls,United States,NHS (Nurses' Health Study),576,193,383,"Plasma, fasting and non-fasting",Radioimmunoassay (RIA),"1,25-Dihydroxycholecalciferol","",Colon and rectal cancer,Nested case-control study,Feskanich 2004
693,21666,All,Prostate cancer cases and their controls,Finland,Helsinki Heart Study,715,149,566,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Ahonen 2000
694,21667,All,Prostate cancer cases and their controls,United States,HHP (Honolulu Heart Program),272,136,136,"Serum, unspecified",Competitive protein-binding assay (CPBA),25-Hydroxycholecalciferol,"",Prostate cancer,Nested case-control study,Nomura 1998
695,21668,All,Prostate cancer cases and their controls,United States,HHP (Honolulu Heart Program),272,136,136,"Serum, unspecified",Competitive protein-binding assay (CPBA),"1,25-Dihydroxycholecalciferol","",Prostate cancer,Nested case-control study,Nomura 1998
696,21669,All,Breast cancer cases and their controls,United States,Kaiser Permanente Northern California (KPNC),192,96,96,"Serum, fasting",Competitive protein-binding assay (CPBA),"1,25-Dihydroxycholecalciferol","",Breast cancer,Nested case-control study,Hiatt 1998
697,21670,All,Colorectal cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",438,146,292,"Serum, fasting",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Tangrea 1997
698,21671,All,Colorectal cancer cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",438,146,292,"Serum, fasting",Competitive protein-binding assay (CPBA),"1,25-Dihydroxycholecalciferol","",Colon and rectal cancer,Nested case-control study,Tangrea 1997
699,21672,All,Colon cancer cases and their controls,United States,CLUE,171,57,114,"Serum, unspecified",Radioimmunoassay (RIA),25-Hydroxycholecalciferol,"",Colon and rectal cancer,Nested case-control study,Braun 1995
700,21673,All,Colon cancer cases and their controls,United States,CLUE,171,57,114,"Serum, unspecified",Competitive protein-binding assay (CPBA),"1,25-Dihydroxycholecalciferol","",Colon and rectal cancer,Nested case-control study,Braun 1995
