ID,Excretion ID,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Arithmetic mean,Geometric mean,Median,Unit,Adjusted on,Reproducibility size,ICC,ICC 95% CI lower,ICC 95% CI upper,CV% WS,CV% BS,VAR WS,VAR BS,Publication
140,18353,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,5-Dichlorophenol (2,5-DCP)","",,,,ug/L,,71,0.52,,,,,,,Philippat 2013
141,18354,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,,,ug/L,,71,0.23,,,,,,,Philippat 2013
142,18355,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,,,ug/L,,71,0.57,,,,,,,Philippat 2013
143,18356,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,,,ug/L,,71,0.56,,,,,,,Philippat 2013
144,18357,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Methylparaben (MP),"",,,,ug/L,,71,0.52,,,,,,,Philippat 2013
145,18358,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Ethylparaben,"",,,,ug/L,,71,0.48,,,,,,,Philippat 2013
146,18359,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Propylparaben (PP),"",,,,ug/L,,71,0.51,,,,,,,Philippat 2013
147,18360,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Butylparaben (BP),"",,,,ug/L,,71,0.54,,,,,,,Philippat 2013
148,18363,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,4-Dichlorophenol (2,4-DCP)","",,,,ug/L,Creatinine,60,0.48,,,,,,,Philippat 2013
149,18364,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,5-Dichlorophenol (2,5-DCP)","",,,,ug/L,Creatinine,60,0.62,,,,,,,Philippat 2013
150,18365,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,,,ug/L,Creatinine,60,0.14,,,,,,,Philippat 2013
151,18366,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,,,ug/L,Creatinine,60,0.7,,,,,,,Philippat 2013
152,18367,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,,,ug/L,Creatinine,60,0.61,,,,,,,Philippat 2013
153,18368,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Methylparaben (MP),"",,,,ug/L,Creatinine,60,0.61,,,,,,,Philippat 2013
154,18369,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Ethylparaben,"",,,,ug/L,Creatinine,60,0.44,,,,,,,Philippat 2013
155,18370,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Propylparaben (PP),"",,,,ug/L,Creatinine,60,0.54,,,,,,,Philippat 2013
156,18371,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Butylparaben (BP),"",,,,ug/L,Creatinine,60,0.64,,,,,,,Philippat 2013
160,18390,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Bisphenol A (BPA),"",,2.6,2.5,ng/mL,,105,0.27,0.15,0.42,,,,,Meeker 2013
161,18389,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Triclosan (TCS),"",,29.9,26.2,ng/mL,,105,0.42,0.3,0.55,,,,,Meeker 2013
162,18391,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Benzophenone-3 (BP-3),"",,52.2,31.3,ng/mL,,105,0.58,0.47,0.68,,,,,Meeker 2013
163,18392,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,4-Dichlorophenol (2,4-DCP)","",,1.5,1.3,ng/mL,,105,0.37,0.25,0.5,,,,,Meeker 2013
164,18393,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,5-Dichlorophenol (2,5-DCP)","",,26.0,19.0,ng/mL,,105,0.5,0.38,0.62,,,,,Meeker 2013
165,18394,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Butylparaben (BP),"",,1.0,0.4,ng/mL,,105,0.45,0.33,0.57,,,,,Meeker 2013
166,18395,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Methylparaben (MP),"",,140.0,153.0,ng/mL,,105,0.36,0.24,0.5,,,,,Meeker 2013
167,18396,All,Pregnant women,Puerto Rico,PROTECT (Puerto Rico Testsite for Exploring Contamination Threats),baseline; 4 weeks; 8 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,Propylparaben (PP),"",,30.0,36.7,ng/mL,,105,0.31,0.19,0.46,,,,,Meeker 2013
168,18463,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",Spectrophotometry,Ascorbic acid,"",0.86,,0.87,mg/dL,,206,0.84,,,,,0.009,0.044,Block 2006
169,18464,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",Spectrophotometry,L-Dehydroascorbic acid,"",0.22,,0.2,mg/dL,,206,0.74,,,,,0.003,0.008,Block 2006
170,18465,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,alpha-Carotene,"",2.98,,2.0,ug/dL,,206,0.7,,,,,0.388,0.889,Block 2006
171,18466,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,beta-Carotene,"",11.46,,8.3,ug/dL,,206,0.76,,,,,0.158,0.449,Block 2006
172,18467,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",8.13,,7.1,ug/dL,,206,0.69,,,,,0.117,0.267,Block 2006
173,18468,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,"",19.38,,18.35,ug/dL,,206,0.69,,,,,0.263,0.58,Block 2006
174,18469,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,Lycopene,"",37.35,,34.75,ug/dL,,206,0.67,,,,,0.665,1.334,Block 2006
175,18470,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,Carotenes,"",82.58,,78.6,ug/dL,,206,0.7,,,,,0.042,0.097,Block 2006
176,18471,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,Retinol,"",63.03,,61.1,ug/dL,,206,0.69,,,,,0.023,0.052,Block 2006
177,18472,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,alpha-Tocopherol,"",1.28,,1.18,mg/dL,,206,0.63,,,,,0.029,0.048,Block 2006
178,18473,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",HPLC,gamma-Tocopherol,"",0.28,,0.26,mg/dL,,206,0.63,,,,,0.005,0.008,Block 2006
182,18477,All,Smokers and nonsmokers exposed to second-hand smoke,United States,,baseline; 2 weeks,"Plasma, fasting",LC-MS/MS,Cotinine,"",176.2,,175.0,ng/mL,,206,0.78,,,,,0.262,0.944,Block 2006
184,18494,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,beta-Carotene,"",,,,missing unit,,48,0.84,,,,,,,van Kappel 2001
185,18495,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,alpha-Carotene,"",,,,missing unit,,47,0.83,,,,,,,van Kappel 2001
186,18496,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,Lutein,"",,,,missing unit,,48,0.8,,,,,,,van Kappel 2001
187,18497,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,Zeaxanthin,"",,,,missing unit,,48,0.63,,,,,,,van Kappel 2001
188,18498,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,beta-Cryptoxanthin,"",,,,missing unit,,47,0.58,,,,,,,van Kappel 2001
189,18499,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Serum, non-fasting",HPLC,Lycopene,"",,,,missing unit,,48,0.63,,,,,,,van Kappel 2001
222,18500,All,Premenopausal women,United States,,baseline; 1 month; 2 months; 3 months; 4 months; 5 months,"Plasma, fasting",GC-FID after saponification,beta-Sitosterol,"",0.341,,,mg/dL,,7,0.91,0.49,,,,0.002,0.029,Li 2001
223,18501,All,Premenopausal women,United States,,baseline; 1 month; 2 months; 3 months; 4 months; 5 months,"Plasma, fasting",GC-FID after saponification,Campesterol,"",0.299,,,mg/dL,,7,0.58,0.31,,,,0.021,0.173,Li 2001
241,18543,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,5-n-Heptadecylresorcinol (C17:0),"",,,,nmol/L,,100,0.35,0.16,0.51,,,,,Montonen 2010
242,18544,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,5-n-Nonadecylresorcinol (C19:0),"",,,,nmol/L,,100,0.46,0.29,0.6,,,,,Montonen 2010
243,18545,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,5-n-Heneicosylresorcinol (C21:0),"",,,,nmol/L,,100,0.47,0.3,0.61,,,,,Montonen 2010
244,18546,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,5-n-Tricosylresorcinol (C23:0),"",,,,nmol/L,,100,0.43,0.26,0.58,,,,,Montonen 2010
245,18547,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,5-n-Pentacosylresorcinol (C25:0),"",,,,nmol/L,,100,0.38,0.2,0.54,,,,,Montonen 2010
246,18548,All,Participants without a history of heart disease,Germany,EPIC (European Prospective Investigation into Cancer and Nutrition),baseline; 4 months,"Plasma, fasting",GC-MS,Alkylresorcinols,5-n-Heptadecylresorcinol (C17:0) + 5-n-Nonadecylresorcinol (C19:0) + 5-n-Heneicosylresorcinol (C21:0) + 5-n-Tricosylresorcinol (C23:0) + 5-n-Pentacosylresorcinol (C25:0),,,,nmol/L,,100,0.42,0.25,0.57,,,,,Montonen 2010
247,18562,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Myristic acid (14:0),"",,,,percentRoot,,46,0.75,0.64,0.86,,,,,Zeleniuch-Jacquotte 2000
248,18563,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Pentadecylic acid (15:0),"",,,,percentRoot,,46,0.44,0.26,0.62,,,,,Zeleniuch-Jacquotte 2000
249,18564,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Palmitic acid (16:0),"",,,,percentRoot,,46,0.57,0.41,0.73,,,,,Zeleniuch-Jacquotte 2000
250,18565,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Margaric acid (17:0),"",,,,percentRoot,,46,0.32,0.13,0.51,,,,,Zeleniuch-Jacquotte 2000
251,18566,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Stearic acid (18:0),"",,,,percentRoot,,46,0.15,0.0,0.34,,,,,Zeleniuch-Jacquotte 2000
252,18567,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Arachidic acid (20:0),"",,,,percentRoot,,46,0.7,0.58,0.82,,,,,Zeleniuch-Jacquotte 2000
253,18568,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Behenic acid (22:0),"",,,,percentRoot,,46,0.81,0.73,0.89,,,,,Zeleniuch-Jacquotte 2000
254,18569,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Lignoceric acid (24:0),"",,,,percentRoot,,46,0.71,0.59,0.83,,,,,Zeleniuch-Jacquotte 2000
255,18570,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,"Fatty acids, saturated (SFA)",Palmitic acid (16:0) + Stearic acid (18:0) + Myristic acid (14:0) + Pentadecylic acid (15:0) + Margaric acid (17:0) + Arachidic acid (20:0) + Behenic acid (22:0) + Lignoceric acid (24:0),,,,percentRoot,,46,0.31,0.12,0.5,,,,,Zeleniuch-Jacquotte 2000
256,18571,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Palmitoleic acid (cis-16:1n-7),"",,,,percentRoot,,46,0.82,0.74,0.9,,,,,Zeleniuch-Jacquotte 2000
257,18572,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Elaidic acid (trans-18:1n-9),"",,,,percentRoot,,46,0.52,0.35,0.69,,,,,Zeleniuch-Jacquotte 2000
258,18573,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Oleic acid (cis-18:1n-9),"",,,,percentRoot,,46,0.74,0.63,0.85,,,,,Zeleniuch-Jacquotte 2000
259,18575,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,"Fatty acids, monounsaturated (MUFA)",Palmitoleic acid (cis-16:1n-7) + Oleic acid (cis-18:1n-9) + Elaidic acid (trans-18:1n-9),,,,percentRoot,,46,0.66,0.53,0.79,,,,,Zeleniuch-Jacquotte 2000
260,18576,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",,,,percentRoot,,46,0.62,0.48,0.76,,,,,Zeleniuch-Jacquotte 2000
261,18577,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,gamma-Linolenic acid (GLA; cis-18:3n-6),"",,,,percentRoot,,46,0.21,0.02,0.4,,,,,Zeleniuch-Jacquotte 2000
262,18578,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Eicosadienoic acid (cis-20:2n-6),"",,,,percentRoot,,46,0.62,0.48,0.76,,,,,Zeleniuch-Jacquotte 2000
263,18579,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),"",,,,percentRoot,,46,0.58,0.43,0.73,,,,,Zeleniuch-Jacquotte 2000
264,18580,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",,,,percentRoot,,46,0.71,0.59,0.83,,,,,Zeleniuch-Jacquotte 2000
265,18581,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,Docosatetraenoic acid (DTA; cis-22:4n-6),"",,,,percentRoot,,46,0.63,0.49,0.77,,,,,Zeleniuch-Jacquotte 2000
266,18582,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,"Fatty acids, n6-polyunsaturated (n6-PUFA)",Linoleic acid (LA; cis-18:2n-6) + Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6) + Arachidonic acid (AA; cis-20:4n-6) + Eicosadienoic acid (cis-20:2n-6) + Docosatetraenoic acid (DTA; cis-22:4n-6) + gamma-Linolenic acid (GLA; cis-18:3n-6),,,,percentRoot,,46,0.53,0.37,0.69,,,,,Zeleniuch-Jacquotte 2000
267,18583,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",,,,percentRoot,,46,0.72,0.6,0.84,,,,,Zeleniuch-Jacquotte 2000
268,18584,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,EPA (cis-20:5n-3),"",,,,percentRoot,,46,0.64,0.5,0.78,,,,,Zeleniuch-Jacquotte 2000
269,18585,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,DPA (cis-22:5n-3),"",,,,percentRoot,,46,0.7,0.58,0.82,,,,,Zeleniuch-Jacquotte 2000
270,18586,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,DHA (cis-22:6n-3),"",,,,percentRoot,,46,0.66,0.53,0.79,,,,,Zeleniuch-Jacquotte 2000
271,18587,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,"Fatty acids, n3-polyunsaturated (n3-PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3),,,,percentRoot,,46,0.66,0.53,0.79,,,,,Zeleniuch-Jacquotte 2000
272,18588,All,Women,United States,NYUWHS (New York University Women's Health Study),baseline; 1 year; 2 years,"Plasma, non-fasting",GC-FID,"Fatty acids, polyunsaturated (PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + DPA (cis-22:5n-3) + Linoleic acid (LA; cis-18:2n-6) + Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6) + Arachidonic acid (AA; cis-20:4n-6) + Eicosadienoic acid (cis-20:2n-6) + Docosatetraenoic acid (DTA; cis-22:4n-6) + gamma-Linolenic acid (GLA; cis-18:3n-6),,,,percentRoot,,46,0.43,0.25,0.61,,,,,Zeleniuch-Jacquotte 2000
279,18616,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,alpha-Carotene,"",,,,umol/L,,1323,0.63,,,,,,,Al-Delaimy 2008
280,18617,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,beta-Carotene,"",,,,umol/L,,1323,0.66,,,,,,,Al-Delaimy 2008
281,18618,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,"",,,,umol/L,,1323,0.65,,,,,,,Al-Delaimy 2008
282,18619,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,Lycopene,"",,,,umol/L,,1323,0.47,,,,,,,Al-Delaimy 2008
283,18620,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",,,,umol/L,,1323,0.59,,,,,,,Al-Delaimy 2008
284,18621,All,Breast cancer survivors,United States,WHEL (Women's Healthy Eating and Living),baseline; 1 year; 4 years,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,,,,umol/L,,1323,0.66,,,,,,,Al-Delaimy 2008
285,18628,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,Lutein/Zeaxanthin,"",,,228.0,ug/L,,40,0.8,0.66,0.89,19.4,38.9,,,Kotsopoulos 2010
286,18629,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,beta-Cryptoxanthin,"",,,93.3,ug/L,,40,0.88,0.79,0.93,17.9,48.5,,,Kotsopoulos 2010
287,18630,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,Lycopene,"",,,414.0,ug/L,,40,0.74,0.58,0.86,21.7,37.3,,,Kotsopoulos 2010
288,18631,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,alpha-Carotene,"",,,69.6,ug/L,,40,0.73,0.57,0.85,34.9,58.7,,,Kotsopoulos 2010
289,18632,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,beta-Carotene,"",,,288.0,ug/L,,40,0.73,0.56,0.85,32.9,54.7,,,Kotsopoulos 2010
290,18633,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,,,1098.0,ug/L,,40,0.81,0.68,0.89,18.5,38.6,,,Kotsopoulos 2010
291,18634,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,Retinol,"",,,571.0,ug/L,,40,0.79,0.65,0.88,9.6,18.9,,,Kotsopoulos 2010
292,18635,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,gamma-Tocopherol,"",,,2295.0,ug/L,,40,0.88,0.78,0.93,24.6,66.0,,,Kotsopoulos 2010
293,18636,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",HPLC,alpha-Tocopherol,"",,,11535.0,ug/L,,40,0.83,0.72,0.91,13.2,29.8,,,Kotsopoulos 2010
294,18638,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Red blood cell, unspecified",GC-FID,"Fatty acids, saturated (SFA)","",,,35.6,percentRoot,,40,0.38,0.17,0.65,5.3,4.2,,,Kotsopoulos 2010
295,18639,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Red blood cell, unspecified",GC-FID,"Fatty acids, monounsaturated (MUFA)","",,,15.4,percentRoot,,40,0.52,0.3,0.73,5.0,5.3,,,Kotsopoulos 2010
296,18640,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Red blood cell, unspecified",GC-FID,"Fatty acids, n3-polyunsaturated (n3-PUFA)","",,,4.9,percentRoot,,40,0.68,0.49,0.82,10.5,15.3,,,Kotsopoulos 2010
297,18641,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Red blood cell, unspecified",GC-FID,"Fatty acids, n6-polyunsaturated (n6-PUFA)","",,,28.1,percentRoot,,40,0.39,0.17,0.66,5.0,4.1,,,Kotsopoulos 2010
298,18642,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Red blood cell, unspecified",GC-FID,"Fatty acids, trans","",,,0.99,percentRoot,,40,0.72,0.55,0.84,12.1,19.7,,,Kotsopoulos 2010
299,18643,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",LC-MS/MS after enzymatic hydrolysis,Daidzein,"",,,4.05,nmol/L,,40,0.0,,,100.0,0.0,,,Kotsopoulos 2010
300,18644,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",LC-MS/MS after enzymatic hydrolysis,Genistein,"",,,2.7,nmol/L,,40,0.03,0.0,1.0,100.0,31.1,,,Kotsopoulos 2010
301,18645,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",LC-MS/MS after enzymatic hydrolysis,Equol,"",,,0.6,nmol/L,,40,0.0,,,53.5,0.0,,,Kotsopoulos 2010
302,18646,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Plasma, unspecified",LC-MS/MS after enzymatic hydrolysis,Enterolactone,"",,,4.1,nmol/L,,40,0.44,0.22,0.68,61.2,54.9,,,Kotsopoulos 2010
303,18647,All,Nurses,United States,NHS (Nurses' Health Study),baseline; 2 years,"Urine, first morning spot",LC-MS/MS after enzymatic hydrolysis,Daidzein,"",,,0.23,nmol/mg,Creatinine,45,0.0,,,100.0,0.0,,,Kotsopoulos 2010
