ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,Intake Assessment method,Intake,Intervention dose,Biospecimen,Analytical method,Biomarker,Structural identification,Feature selection,Area under curve,Sensitivity,Specificity,PLS-DA VIP,Beta coefficient,Beta coefficient p-value,ANOVA p-value,Publication
69,20615,20616,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Indole-3-carboxylic acid glucuronide,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 73.7,= 71.9,= 70.1,,,,,Garcia-Aloy 2014
70,20615,20617,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Hydroxyindole acetic acid sulfate,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5), , , ,,,,,Garcia-Aloy 2014
71,20615,20618,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,N-Acetylserotonin sulfate,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5), , , ,,,,,Garcia-Aloy 2014
72,20615,20619,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,"10-Hydroxy-decene-4,6-diynoic acid sulfate","Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 74.4,= 82.8,= 62.7,,,,,Garcia-Aloy 2014
73,20615,20621,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Urolithin A glucuronide,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level I (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 82.0,= 76.6,= 74.6,,,,,Garcia-Aloy 2014
74,20615,20622,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Urolithin A sulfoglucuronide,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5), , , ,,,,,Garcia-Aloy 2014
75,20615,20623,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Tridecadienoic/Tridecynoic acid glucuronide,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 85.1,= 78.9,= 76.1,,,,,Garcia-Aloy 2014
76,20615,20624,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Urolithin B 3-glucuronide,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with MetFrag).",OSC-PLS-DA (significant at VIP >= 1.5), , , ,,,,,Garcia-Aloy 2014
77,20615,20625,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Urolithin A sulfate,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 78.7,= 88.3,= 64.2,,,,,Garcia-Aloy 2014
78,20615,20626,All,Subjects classified as walnut consumers and walnut non-consumers,Spain,PREDIMED (Prevención con Dieta Mediterránea),195,Food Frequency Questionnaire (FFQ),Walnut,,"Urine, spot",LC-MS,Combined biomarker,"Searches (exact mass and fragmentation patterns) in public databases (HMDB, LIPID MAPS, MetFrag) and literature. Sumner level II (structural identification agrees with literature).",OSC-PLS-DA (significant at VIP >= 1.5),= 93.4,= 79.7,= 89.6,,,,,Garcia-Aloy 2014
79,20627,20637,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Dihydroferulic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 95.5, , ,3.92,,,,Edmands 2015
80,20627,20638,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Guaiacol glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 95.3, , ,3.73,,,,Edmands 2015
81,20627,20639,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Feruloylquinic acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 91.9, , ,3.41,,,,Edmands 2015
82,20627,20640,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Ferulic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 95.2, , ,3.77,,,,Edmands 2015
83,20627,20641,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Feruloylquinic acid glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 94.3, , ,3.77,,,,Edmands 2015
84,20627,20642,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,5-Caffeoylquinic acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with standard.",OPLS-DA (significant at VIP > 1.5),= 88.4, , ,2.89,,,,Edmands 2015
85,20627,20643,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,p-Coumaric acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 91.0, , ,3.38,,,,Edmands 2015
86,20627,20644,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Caffeic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 91.4, , ,3.04,,,,Edmands 2015
87,20627,20645,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Ferulic acid glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 89.3, , ,2.9,,,,Edmands 2015
88,20627,20646,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Hydroxyhippuric acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. From automatic annotation software (Magma).",OPLS-DA (significant at VIP > 1.5),= 86.1, , ,2.24,,,,Edmands 2015
89,20627,20647,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Dihydrocaffeic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 85.0, , ,2.63,,,,Edmands 2015
90,20627,20648,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,m-Coumaric acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 79.9, , ,2.28,,,,Edmands 2015
91,20627,20669,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Dihydroferulic acid glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 85.7, , ,2.63,,,,Edmands 2015
92,20627,20649,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,p-Hydroxyphenyllactic acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites.",OPLS-DA (significant at VIP > 1.5),= 83.2, , ,2.06,,,,Edmands 2015
93,20627,20650,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Guaiacol sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 86.0, , ,2.23,,,,Edmands 2015
94,20627,20651,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Coffee,,"Urine, 24-h",LC-MS,Ethylcatechol glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 88.0, , ,2.82,,,,Edmands 2015
95,20628,20652,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,Gallic acid ethyl ester sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 91.9, , ,6.49,,,,Edmands 2015
96,20628,20653,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,Hydroxytyrosol sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 76.7, , ,3.2,,,,Edmands 2015
97,20628,20654,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,Dihydroresveratrol glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 86.9, , ,4.9,,,,Edmands 2015
98,20628,20655,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,Syringic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 72.8, , ,2.64,,,,Edmands 2015
99,20629,20656,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Citrus fruits,,"Urine, 24-h",LC-MS,Naringenin glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 91.3, , ,6.23,,,,Edmands 2015
100,20629,20657,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Citrus fruits,,"Urine, 24-h",LC-MS,Hesperetin glucuronide sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 86.8, , ,5.55,,,,Edmands 2015
101,20629,20658,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Citrus fruits,,"Urine, 24-h",LC-MS,Hesperetin glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 89.0, , ,6.25,,,,Edmands 2015
102,20630,20659,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Methylgallic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 81.6, , ,6.62,,,,Edmands 2015
103,20628,20659,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,Methylgallic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 83.6, , ,4.61,,,,Edmands 2015
104,20630,20660,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,4-O-Methylgallic acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with standard.",OPLS-DA (significant at VIP > 1.5),= 83.9, , ,6.81,,,,Edmands 2015
105,20628,20660,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Wine,,"Urine, 24-h",LC-MS,4-O-Methylgallic acid,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with standard.",OPLS-DA (significant at VIP > 1.5),= 84.7, , ,4.83,,,,Edmands 2015
106,20630,20661,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Dihydroxyphenyl-gamma-valerolactone sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 79.3, , ,6.58,,,,Edmands 2015
107,20630,20662,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Pyrogallol sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 70.4, , ,3.59,,,,Edmands 2015
108,20630,20663,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Hydroxyphenylvaleric acid glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. From automatic annotation software (Magma).",OPLS-DA (significant at VIP > 1.5),= 65.3, , ,3.46,,,,Edmands 2015
109,20630,20664,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Methyl(epi)catechin sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 66.9, , ,3.01,,,,Edmands 2015
110,20631,20664,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Pome fruits,,"Urine, 24-h",LC-MS,Methyl(epi)catechin sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 70.7, , ,4.17,,,,Edmands 2015
111,20632,20664,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Chocolate,,"Urine, 24-h",LC-MS,Methyl(epi)catechin sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 74.4, , ,4.93,,,,Edmands 2015
112,20631,20665,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Pome fruits,,"Urine, 24-h",LC-MS,Phloretin glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Match with aglycone standard.",OPLS-DA (significant at VIP > 1.5),= 75.8, , ,4.58,,,,Edmands 2015
113,20631,20661,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Pome fruits,,"Urine, 24-h",LC-MS,Dihydroxyphenyl-gamma-valerolactone sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 63.2, , ,2.91,,,,Edmands 2015
114,20632,20666,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Chocolate,,"Urine, 24-h",LC-MS,"4-Hydroxy-(3',4'-dihydroxyphenyl)valeric acid sulfate","Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites.",OPLS-DA (significant at VIP > 1.5),= 66.4, , ,2.96,,,,Edmands 2015
115,20632,20667,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Chocolate,,"Urine, 24-h",LC-MS,Dihydroxyphenyl-gamma-valerolactone glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 63.6, , ,2.24,,,,Edmands 2015
116,20632,20668,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Chocolate,,"Urine, 24-h",LC-MS,Vanillic acid sulfate,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in HMDB.",OPLS-DA (significant at VIP > 1.5),= 62.1, , ,2.42,,,,Edmands 2015
117,20630,20667,All,"Free-living subjects from France, Germany, Greece, and Italy",France,EPIC (European Prospective Investigation into Cancer and Nutrition),481,24-h Dietary recall (1-day),Tea,,"Urine, 24-h",LC-MS,Dihydroxyphenyl-gamma-valerolactone glucuronide,"Fragmentation experiments, mono-isotopic mass matching with public databases, literature and all possible phase II metabolites. Comparison with spectra in literature.",OPLS-DA (significant at VIP > 1.5),= 59.2, , ,2.94,,,,Edmands 2015
122,20670,20672,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Trigonelline,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
123,20670,20673,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Quinic acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
124,20671,20674,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Paraxanthine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
125,20670,20675,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,N-(2-Furoyl)glycine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
126,20670,20676,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Catechol sulfate,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
127,20671,20677,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Caffeine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
128,20671,20678,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,1-Methylxanthine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
129,20671,20679,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Theophylline,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
130,20671,20680,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,"1,3,7-Trimethyluric acid",Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
131,20671,20681,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,3-Hydroxyhippuric acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
132,20671,20682,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Theobromine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
133,20671,20683,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,"1,7-Dimethyluric acid",Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
134,20671,20684,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,1-Methyluric acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
135,20671,20685,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,cyclo(Leucyl-prolyl),Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
136,20671,20686,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,4-Vinylphenol sulfate,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
137,20671,20687,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,3-Hydroxyphenylpropionic acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
138,20671,20688,All,Cases and controls in a case-control study on colorectal cancer,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",498,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, non-fasting",Chromatography,Cinnamoylglycine,Metabolon,Linear regression with Bonferroni correction (significant at p < 7.61x10-5), , , ,,,,,Guertin 2015
