"accession","InChIKey","Name","PrecursorMZ","Ion_mode"
"MSBNK-Eawag-EQ317853","IOYNQIMAUDJVEI-BMVIKAAMSA-N","Tepraloxydim","340.1321","NEGATIVE"
"MSBNK-Eawag-EQ368653","NDDAHWYSQHTHNT-UHFFFAOYSA-N","Indapamide","364.0528","NEGATIVE"
"MSBNK-Eawag-EA277053","IAOZJIPTCAWIRG-QWRGUYRKSA-N","Aspartame","293.1143","NEGATIVE"
"MSBNK-Eawag-EQ420453","GRBGKIGVRUXTSK-UHFFFAOYSA-N","Methiocarb-TP methiocarb sulfone phenol (M05)","199.0434","NEGATIVE"
"MSBNK-Eawag-EA273260","BKOBFLVYTXYFQZ-OWOJBTEDSA-N","6:2 fluorotelomer unsaturated carboxylic acid","356.979","NEGATIVE"
"MSBNK-Eawag-EA024353","RZVAJINKPMORJF-UHFFFAOYSA-N","Paracetamol","150.0561","NEGATIVE"
"MSBNK-Eawag-EA070159","INGSNVSERUZOAK-UHFFFAOYSA-N","Ritalinic acid","218.1187","NEGATIVE"
"MSBNK-Eawag-EA271856","UZUFPBIDKMEQEQ-UHFFFAOYSA-N","Perfluorononanoic acid","462.9632","NEGATIVE"
"MSBNK-Eawag-EQ326554","TZBJGXHYKVUXJN-UHFFFAOYSA-N","Genistein","269.0455","NEGATIVE"
"MSBNK-Eawag-EA002456","UPMXNNIRAGDFEH-UHFFFAOYSA-N","Bromoxynil","273.8509","NEGATIVE"
"MSBNK-Eawag-EA014758","YUVKUEAFAVKILW-UHFFFAOYSA-N","Fluazifop","326.0646","NEGATIVE"
"MSBNK-Eawag-EQ338455","ZCGLNFAUVVHTQO-UHFFFAOYSA-N","3-[(4-chlorobenzoyl)amino]propanoic acid","226.0276","NEGATIVE"
"MSBNK-Eawag-EA032652","NXTDJHZGHOFSQG-UHFFFAOYSA-N","3-Phenoxybenzoic acid","213.0557","NEGATIVE"
"MSBNK-Eawag-EQ326454","AKUJBENLRBOFTD-UHFFFAOYSA-N","Dexamethasone acetate","433.2032","NEGATIVE"
"MSBNK-Eawag-EA258360","ACWBQPMHZXGDFX-QFIPXVFZSA-N","Valsartan","434.2198","NEGATIVE"
"MSBNK-Eawag-EQ500151","GTKOZWUQRHEXJR-UHFFFAOYSA-N","Chlorothalonil TP SYN548581","326.8806","NEGATIVE"
"MSBNK-Eawag-EQ360157","GPXLRLUVLMHHIK-UHFFFAOYSA-N","Forchlorfenuron","246.044","NEGATIVE"
"MSBNK-Eawag-EA013862","JWYUFVNJZUSCSM-UHFFFAOYSA-N","2-Aminobenzimidazole","132.0567","NEGATIVE"
"MSBNK-Eawag-EA070653","PHMHHVKFXZNTKU-UHFFFAOYSA-N","Metazachlor OXA","272.1041","NEGATIVE"
"MSBNK-Eawag-EA064457","IQPSEEYGBUAQFF-UHFFFAOYSA-N","Pantoprazole","382.0679","NEGATIVE"
"MSBNK-Eawag-EA066563","BFSZJLBDHMMCAH-UHFFFAOYSA-N","Propachlor ESA","256.0649","NEGATIVE"
"MSBNK-Eawag-EQ436152","ZDOVFDLIJJGVQM-APNXPRSCSA-N","Anabaenopeptin B","835.4472","NEGATIVE"
"MSBNK-Eawag-EQ383655","ITMCEJHCFYSIIV-UHFFFAOYSA-N","Trifluoromethanesulphonic acid","148.9526","NEGATIVE"
"MSBNK-Eawag-EQ411455","JNMMKKYUIIQPDG-UHFFFAOYSA-N","Chlorothalonil-TP R417888","326.8806","NEGATIVE"
"MSBNK-Eawag-EQ360052","NYRMIJKDBAQCHC-UHFFFAOYSA-N","Flurtamone","332.0904","NEGATIVE"
"MSBNK-Eawag-EA277657","OROAFUQRIXKEMV-LDADJPATSA-N","Eprosartan","423.1384","NEGATIVE"
"MSBNK-Eawag-EQ435653","JWVKNHDSRADFFA-UHFFFAOYSA-N","Anabaenopeptin A","842.4094","NEGATIVE"
"MSBNK-Eawag-EQ319957","MFYSYFVPBJMHGN-ZPOLXVRWSA-N","Cortisone","359.1864","NEGATIVE"
"MSBNK-Eawag-EQ309451","GXAMYUGOODKVRM-UHFFFAOYSA-N","Flurenol","225.0557","NEGATIVE"
"MSBNK-Eawag-EA253561","RVSCDWJKJDBFRS-UHFFFAOYSA-N","Dimethachlor ESA","300.0911","NEGATIVE"
"MSBNK-Eawag-EQ338453","ZCGLNFAUVVHTQO-UHFFFAOYSA-N","3-[(4-chlorobenzoyl)amino]propanoic acid","226.0276","NEGATIVE"
"MSBNK-Eawag-EA026063","YMYKMSAZEZQEER-UHFFFAOYSA-N","Dimethenamide ESA","320.0632","NEGATIVE"
"MSBNK-Eawag-EQ309956","UNAHYJYOSSSJHH-UHFFFAOYSA-N","Oryzalin","345.0874","NEGATIVE"
"MSBNK-Eawag-EA019662","VMXUWOKSQNHOCA-UKTHLTGXSA-N","Ranitidine","313.134","NEGATIVE"
"MSBNK-Eawag-EA009959","UTCJUUGCHWHUNI-UHFFFAOYSA-N","Alachlor ESA","314.1068","NEGATIVE"
"MSBNK-Eawag-EA266763","LGHZJDKSVUTELU-UHFFFAOYSA-N","Fipronil-sulfone","450.9263","NEGATIVE"
"MSBNK-Eawag-EA280462","HTQMVQVXFRQIKW-UHFFFAOYSA-N","Candesartan","439.1524","NEGATIVE"
"MSBNK-Eawag-EQ329353","RUZYUOTYCVRMRZ-UHFFFAOYSA-N","Doxazosin","450.1783","NEGATIVE"
"MSBNK-Eawag-EQ320452","DSRNRYQBBJQVCW-UHFFFAOYSA-N","Metoxuron","227.0593","NEGATIVE"
"MSBNK-Eawag-EQ369159","JZFPYUNJRRFVQU-UHFFFAOYSA-N","Niflumic acid","281.0543","NEGATIVE"
"MSBNK-Eawag-EA285451","DCASRSISIKYPDD-UHFFFAOYSA-N","Clopidogrel carboxylic acid","306.0361","NEGATIVE"
"MSBNK-Eawag-EQ361757","BUCORZSTKDOEKQ-UHFFFAOYSA-N","Chlordiazepoxide","298.0753","NEGATIVE"
"MSBNK-Eawag-EA066454","FFKNXXCOXIZLJD-UHFFFAOYSA-N","Flufenacet OXA","224.0728","NEGATIVE"
"MSBNK-Eawag-EA277052","IAOZJIPTCAWIRG-QWRGUYRKSA-N","Aspartame","293.1143","NEGATIVE"
"MSBNK-Eawag-EQ377256","HXNFUBHNUDHIGC-UHFFFAOYSA-N","Oxypurinol","151.0261","NEGATIVE"
"MSBNK-Eawag-EQ357055","VCKAUONIDRWIGP-UHFFFAOYSA-N","10phiC10SPC","327.1272","NEGATIVE"
"MSBNK-Eawag-EA273962","OWEGWHBOCFMBLP-UHFFFAOYSA-N","Climbazol","291.0906","NEGATIVE"
"MSBNK-Eawag-EQ310655","XQSPYNMVSIKCOC-NTSWFWBYSA-N","Emtricitabine","246.0354","NEGATIVE"
"MSBNK-Eawag-EA020855","HYYBABOKPJLUIN-UHFFFAOYSA-N","Mefenamic acid","240.103","NEGATIVE"
"MSBNK-Eawag-EQ366253","BOEGTKLJZSQCCD-UHFFFAOYSA-N","Cefadroxil","362.0816","NEGATIVE"
"MSBNK-Eawag-EQ361556","VYMDGNCVAMGZFE-UHFFFAOYSA-N","Phenylbutazone","307.1452","NEGATIVE"
"MSBNK-Eawag-EA295255","QYPNKSZPJQQLRK-UHFFFAOYSA-N","Tebufenozide","351.2078","NEGATIVE"
"MSBNK-Eawag-EQ369156","JZFPYUNJRRFVQU-UHFFFAOYSA-N","Niflumic acid","281.0543","NEGATIVE"
"MSBNK-Eawag-EA008857","WYKYKTKDBLFHCY-UHFFFAOYSA-N","Chloridazon","220.0283","NEGATIVE"
"MSBNK-Eawag-EA293959","NUPJIGQFXCQJBK-UHFFFAOYSA-N","Imazamox","304.1303","NEGATIVE"
"MSBNK-Eawag-EA016764","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methyl-1H-benzotriazole","132.0567","NEGATIVE"
"MSBNK-Eawag-EQ362751","VPPJLAIAVCUEMN-UHFFFAOYSA-N","Lacosamide","249.1245","NEGATIVE"
"MSBNK-Eawag-EA271557","PXUULQAPEKKVAH-UHFFFAOYSA-N","Perfluorohexanoic acid","312.9728","NEGATIVE"
"MSBNK-Eawag-EA013660","AMRQXHFXNZFDCH-UHFFFAOYSA-N","Carbetamide","235.1088","NEGATIVE"
"MSBNK-Eawag-EQ500356","XBWQFDNGNOOMDZ-UHFFFAOYSA-N","Perfluoropropanesulfonic Acid","248.9462","NEGATIVE"
"MSBNK-Eawag-EQ311851","XAIPTRIXGHTTNT-UHFFFAOYSA-N","Triflumuron","357.0259","NEGATIVE"
"MSBNK-Eawag-EQ319953","MFYSYFVPBJMHGN-ZPOLXVRWSA-N","Cortisone","359.1864","NEGATIVE"
"MSBNK-Eawag-EQ286052","IWUCXVSUMQZMFG-AFCXAGJDSA-N","Ribavirin","243.0735","NEGATIVE"
"MSBNK-Eawag-EQ324852","SIGQAYSWORHPPH-GFXLLRAPSA-N","MCLY","1000.5037","NEGATIVE"
"MSBNK-Eawag-EQ332252","MXJWRABVEGLYDG-UHFFFAOYSA-N","Bufexamac","222.1136","NEGATIVE"
"MSBNK-Eawag-EA080460","PHWAJJWKNLWZGJ-UHFFFAOYSA-N","3,5-Dibromo-4-hydroxybenzoic acid","292.8454","NEGATIVE"
"MSBNK-Eawag-EQ361059","OWFJMIVZYSDULZ-UHFFFAOYSA-N","Oxytetracycline","459.1409","NEGATIVE"
"MSBNK-Eawag-EA285964","TUZYXOIXSAXUGO-PZAWKZKUSA-N","Pravastatin","423.2388","NEGATIVE"
"MSBNK-Eawag-EA013051","MEFOUWRMVYJCQC-UHFFFAOYSA-N","Rimsulfuron","430.0497","NEGATIVE"
"MSBNK-Eawag-EQ368651","NDDAHWYSQHTHNT-UHFFFAOYSA-N","Indapamide","364.0528","NEGATIVE"
"MSBNK-Eawag-EQ363459","OTVAEFIXJLOWRX-UHFFFAOYSA-N","Thiamphenicol","353.9975","NEGATIVE"
"MSBNK-Eawag-EA271458","CXZGQIAOTKWCDB-UHFFFAOYSA-N","Perfluoropentanoic acid","262.976","NEGATIVE"
"MSBNK-Eawag-EQ365659","OWNRRUFOJXFKCU-UHFFFAOYSA-N","Bromadiolone","525.0707","NEGATIVE"
"MSBNK-Eawag-EQ358059","HXHWSAZORRCQMX-UHFFFAOYSA-N","Albendazole","264.0812","NEGATIVE"
"MSBNK-Eawag-EQ363452","OTVAEFIXJLOWRX-UHFFFAOYSA-N","Thiamphenicol","353.9975","NEGATIVE"
"MSBNK-Eawag-EA258358","ACWBQPMHZXGDFX-QFIPXVFZSA-N","Valsartan","434.2198","NEGATIVE"
"MSBNK-Eawag-EQ317655","HHUQPWODPBDTLI-UHFFFAOYSA-N","Prothioconazole-desethio","310.0519","NEGATIVE"
"MSBNK-Eawag-EA274060","KVEQCVKVIFQSGC-UHFFFAOYSA-N","Tritosulfuron","444.0207","NEGATIVE"
"MSBNK-Eawag-EQ363353","KTUFNOKKBVMGRW-UHFFFAOYSA-N","Imatinib","492.2517","NEGATIVE"
"MSBNK-Eawag-EQ500159","GTKOZWUQRHEXJR-UHFFFAOYSA-N","Chlorothalonil TP SYN548581","326.8806","NEGATIVE"
"MSBNK-Eawag-EA010263","OTKTUNJJKYTOFF-UHFFFAOYSA-N","Acetochlor OXA","264.1241","NEGATIVE"
"MSBNK-Eawag-EQ320553","DYKFCLLONBREIL-KVUCHLLUSA-N","Minocycline","456.1776","NEGATIVE"
"MSBNK-Eawag-EQ319053","YXIWHUQXZSMYRE-UHFFFAOYSA-N","2-Mercaptobenzothiazole","165.9791","NEGATIVE"
"MSBNK-Eawag-EA025364","ZOMSMJKLGFBRBS-UHFFFAOYSA-N","Bentazone","239.0496","NEGATIVE"
"MSBNK-Eawag-EA029252","XMTQQYYKAHVGBJ-UHFFFAOYSA-N","Diuron","231.0097","NEGATIVE"
"MSBNK-Eawag-EQ500753","WYLSEDHKQJBUIA-UHFFFAOYSA-N","O-Des[2-aminoethyl]-O-carboxymethyl dehydroamlodipine","420.0856","NEGATIVE"
"MSBNK-Eawag-EA280851","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1187","NEGATIVE"
"MSBNK-Eawag-EA277258","ZKLPARSLTMPFCP-UHFFFAOYSA-N","Cetirizine","387.1481","NEGATIVE"
"MSBNK-Eawag-EQ369454","INOGLHRUEYDAHX-UHFFFAOYSA-N","1-Chlorobenzotriazole","152.0021","NEGATIVE"
"MSBNK-Eawag-EQ313256","UBQNRHZMVUUOMG-UHFFFAOYSA-N","Zonisamide","211.0183","NEGATIVE"
"MSBNK-Eawag-EA017054","ZBMZVLHSJCTVON-UHFFFAOYSA-N","Sotalol","271.1122","NEGATIVE"
"MSBNK-Eawag-EA281061","XUKUURHRXDUEBC-KAYWLYCHSA-N","Atorvastatin","557.2457","NEGATIVE"
"MSBNK-Eawag-EQ417657","QKOJUBFULGSCQS-UHFFFAOYSA-N","Terbuthylazine-TP CSAA036479 (LM2)","212.0789","NEGATIVE"
"MSBNK-Eawag-EQ301553","JOATXPAWOHTVSZ-UHFFFAOYSA-N","Celiprolol","378.2398","NEGATIVE"
"MSBNK-Eawag-EA012451","AHTPATJNIAFOLR-UHFFFAOYSA-N","Thifensulfuron-methyl","386.0234","NEGATIVE"
"MSBNK-Eawag-EQ317954","NBQCNZYJJMBDKY-UHFFFAOYSA-N","Terbacil","215.0593","NEGATIVE"
"MSBNK-Eawag-EA009358","AHBXXEZLRFCZSF-UHFFFAOYSA-N","Metribuzin-diketo","183.0887","NEGATIVE"
"MSBNK-Eawag-EQ369157","JZFPYUNJRRFVQU-UHFFFAOYSA-N","Niflumic acid","281.0543","NEGATIVE"
"MSBNK-Eawag-EQ358853","HHZIURLSWUIHRB-UHFFFAOYSA-N","Nilotinib","528.1765","NEGATIVE"
"MSBNK-Eawag-EQ358559","HPJKCIUCZWXJDR-UHFFFAOYSA-N","Letrozole","284.0942","NEGATIVE"
"MSBNK-Eawag-EQ290057","JMTMSDXUXJISAY-UHFFFAOYSA-N","4-Hydroxybenzotriazole","134.036","NEGATIVE"
"MSBNK-Eawag-EQ367858","SGKRLCUYIXIAHR-UHFFFAOYSA-N","Doxycycline","443.146","NEGATIVE"
"MSBNK-Eawag-EQ434052","XERUIVSANADXCP-UHFFFAOYSA-N","Chlorothalonil TP SYN548580","280.9293","NEGATIVE"
"MSBNK-Eawag-EA013655","AMRQXHFXNZFDCH-UHFFFAOYSA-N","Carbetamide","235.1088","NEGATIVE"
"MSBNK-Eawag-EQ358851","HHZIURLSWUIHRB-UHFFFAOYSA-N","Nilotinib","528.1765","NEGATIVE"
"MSBNK-Eawag-EA030862","WNTGYJSOUMFZEP-UHFFFAOYSA-N","Mecoprop","213.0324","NEGATIVE"
"MSBNK-Eawag-EQ366254","BOEGTKLJZSQCCD-UHFFFAOYSA-N","Cefadroxil","362.0816","NEGATIVE"
"MSBNK-Eawag-EQ313852","DIWRORZWFLOCLC-UHFFFAOYSA-N","Lorazepam","319.0047","NEGATIVE"
"MSBNK-Eawag-EA281553","HLIAVLHNDJUHFG-HOTGVXAUSA-N","Neotame","377.2082","NEGATIVE"
"MSBNK-Eawag-EQ377255","HXNFUBHNUDHIGC-UHFFFAOYSA-N","Oxypurinol","151.0261","NEGATIVE"
"MSBNK-Eawag-EA067254","NUISVCFZNCYUIM-UHFFFAOYSA-N","Terbutylazine-desethyl-2-hydroxy","182.1047","NEGATIVE"
"MSBNK-Eawag-EA281664","CVHZOJJKTDOEJC-UHFFFAOYSA-N","Saccharin","181.9917","NEGATIVE"
"MSBNK-Eawag-EQ301451","ZAIPMKNFIOOWCQ-UHFFFAOYSA-N","Cefalexin","346.0867","NEGATIVE"
"MSBNK-Eawag-EQ313757","MJIHNNLFOKEZEW-UHFFFAOYSA-N","Lansoprazole","368.0686","NEGATIVE"
"MSBNK-Eawag-EA281654","CVHZOJJKTDOEJC-UHFFFAOYSA-N","Saccharin","181.9917","NEGATIVE"
"MSBNK-Eawag-EQ301153","BZKPWHYZMXOIDC-UHFFFAOYSA-N","Acetazolamide","220.9809","NEGATIVE"
"MSBNK-Eawag-EA012961","RTCOGUMHFFWOJV-UHFFFAOYSA-N","Nicosulfuron","409.0936","NEGATIVE"
"MSBNK-Eawag-EQ368759","OJMMVQQUTAEWLP-UHFFFAOYSA-N","Lincomycin","405.2065","NEGATIVE"
"MSBNK-Eawag-EA271851","UZUFPBIDKMEQEQ-UHFFFAOYSA-N","Perfluorononanoic acid","462.9632","NEGATIVE"
"MSBNK-Eawag-EQ320552","DYKFCLLONBREIL-KVUCHLLUSA-N","Minocycline","456.1776","NEGATIVE"
"MSBNK-Eawag-EQ368253","DANUORFCFTYTSZ-UHFFFAOYSA-N","Nigericin","723.4689","NEGATIVE"
"MSBNK-Eawag-EQ306156","KWLVWJPJKJMCSH-UHFFFAOYSA-N","Mandipropamid","410.1165","NEGATIVE"
"MSBNK-Eawag-EQ301653","CJBJHOAVZSMMDJ-HEXNFIEUSA-N","Darunavir","546.2279","NEGATIVE"
"MSBNK-Eawag-EQ396556","JOXIMZWYDAKGHI-UHFFFAOYSA-N","p-Toluenesulfonic acid","171.0121","NEGATIVE"
"MSBNK-Eawag-EA015055","DFFWZNDCNBOKDI-KTKRTIGZSA-N","Trinexapac","223.0612","NEGATIVE"
"MSBNK-Eawag-EA020858","HYYBABOKPJLUIN-UHFFFAOYSA-N","Mefenamic acid","240.103","NEGATIVE"
"MSBNK-Eawag-EA266860","FQXWEKADCSXYOC-UHFFFAOYSA-N","Fipronil-sulfide","418.9365","NEGATIVE"
"MSBNK-Eawag-EQ339755","KGVXVPRLBMWZLG-UHFFFAOYSA-N","4`-Hydroxy Diclofenac","310.0043","NEGATIVE"
"MSBNK-Eawag-EA293351","PGOOBECODWQEAB-UHFFFAOYSA-N","Clothianidin","248.0014","NEGATIVE"
"MSBNK-Eawag-EA020160","DCOPUUMXTXDBNB-UHFFFAOYSA-N","Diclofenac","294.0094","NEGATIVE"
"MSBNK-Eawag-EQ317652","HHUQPWODPBDTLI-UHFFFAOYSA-N","Prothioconazole-desethio","310.0519","NEGATIVE"
"MSBNK-Eawag-EA013060","MEFOUWRMVYJCQC-UHFFFAOYSA-N","Rimsulfuron","430.0497","NEGATIVE"
"MSBNK-Eawag-EQ317851","IOYNQIMAUDJVEI-BMVIKAAMSA-N","Tepraloxydim","340.1321","NEGATIVE"
"MSBNK-Eawag-EA275664","YGCFIWIQZPHFLU-UHFFFAOYSA-N","Acesulfame","161.9867","NEGATIVE"
"MSBNK-Eawag-EA026157","WHKUVVPPKQRRBV-UHFFFAOYSA-N","MCPA","199.0167","NEGATIVE"
"MSBNK-Eawag-EQ311456","GBAWQJNHVWMTLU-UHFFFAOYSA-N","Heptenophos","249.0089","NEGATIVE"
"MSBNK-Eawag-EA285251","NTJOBXMMWNYJFB-UHFFFAOYSA-N","Amisulpride","368.165","NEGATIVE"
"MSBNK-Eawag-EQ500751","WYLSEDHKQJBUIA-UHFFFAOYSA-N","O-Des[2-aminoethyl]-O-carboxymethyl dehydroamlodipine","420.0856","NEGATIVE"
"MSBNK-Eawag-EQ369053","SBDNJUWAMKYJOX-UHFFFAOYSA-N","Meclofenamic Acid","294.0094","NEGATIVE"
"MSBNK-Eawag-EA010264","OTKTUNJJKYTOFF-UHFFFAOYSA-N","Acetochlor OXA","264.1241","NEGATIVE"
"MSBNK-Eawag-EQ368655","NDDAHWYSQHTHNT-UHFFFAOYSA-N","Indapamide","364.0528","NEGATIVE"
"MSBNK-Eawag-EQ362852","VMIYHDSEFNYJSL-UHFFFAOYSA-N","Bromazepam","313.9934","NEGATIVE"
"MSBNK-Eawag-EA026661","CTSLUCNDVMMDHG-UHFFFAOYSA-N","Bromacil","259.0088","NEGATIVE"
"MSBNK-Eawag-EA027753","GCKLGRUZDXSATG-UHFFFAOYSA-N","Atrazine-desethyl-2-hydroxy","168.0891","NEGATIVE"
"MSBNK-Eawag-EQ308352","LSQZJLSUYDQPKJ-NJBDSQKTSA-N","Amoxicillin","364.0973","NEGATIVE"
"MSBNK-Eawag-EQ356259","GOCUAJYOYBLQRH-UHFFFAOYSA-N","Haloxyfop","360.0256","NEGATIVE"
"MSBNK-Eawag-EA015051","DFFWZNDCNBOKDI-KTKRTIGZSA-N","Trinexapac","223.0612","NEGATIVE"
"MSBNK-Eawag-EQ329256","XPOQHMRABVBWPR-ZDUSSCGKSA-N","Efavirenz","314.0201","NEGATIVE"
"MSBNK-Eawag-EA025758","OWZPCEFYPSAJFR-UHFFFAOYSA-N","Dinoseb","239.0673","NEGATIVE"
"MSBNK-Eawag-EA272051","PCIUEQPBYFRTEM-UHFFFAOYSA-N","Perfluorodecanoic acid","512.96","NEGATIVE"
"MSBNK-Eawag-EA005864","VHCNQEUWZYOAEV-UHFFFAOYSA-N","Metamitron","201.0782","NEGATIVE"
"MSBNK-Eawag-EQ313653","FJLGEFLZQAZZCD-MCBHFWOFSA-N","Fluvastatin","410.1773","NEGATIVE"
"MSBNK-Eawag-EA281555","HLIAVLHNDJUHFG-HOTGVXAUSA-N","Neotame","377.2082","NEGATIVE"
"MSBNK-Eawag-EQ368058","DHPRQBPJLMKORJ-UHFFFAOYSA-N","Chlortetracycline","477.107","NEGATIVE"
"MSBNK-Eawag-EA009353","AHBXXEZLRFCZSF-UHFFFAOYSA-N","Metribuzin-diketo","183.0887","NEGATIVE"
"MSBNK-Eawag-EA033751","MQOBSOSZFYZQOK-UHFFFAOYSA-N","Fenofibric acid","317.0586","NEGATIVE"
"MSBNK-Eawag-EA280856","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1187","NEGATIVE"
"MSBNK-Eawag-EQ359556","KHBQMWCZKVMBLN-UHFFFAOYSA-N","Benzenesulfonamide","156.0125","NEGATIVE"
"MSBNK-Eawag-EA027062","MZHCENGPTKEIGP-UHFFFAOYSA-N","Dichlorprop","232.9778","NEGATIVE"
"MSBNK-Eawag-EQ306954","QYIYFLOTGYLRGG-GPCCPHFNSA-N","Cefaclor","366.0321","NEGATIVE"
"MSBNK-Eawag-EQ418656","YSKUZVBSHIWEFK-UHFFFAOYSA-N","Terbuthylazine-TP MT24 (LM1)","127.0261","NEGATIVE"
"MSBNK-Eawag-EQ305353","WZHHYIOUKQNLQM-UHFFFAOYSA-N","Tetrachlorophthalic acid","300.8634","NEGATIVE"
"MSBNK-Eawag-EA256655","GHASVSINZRGABV-UHFFFAOYSA-N","5-Fluorouracil","129.0106","NEGATIVE"
"MSBNK-Eawag-EQ310552","SGOIRFVFHAKUTI-ZCFIWIBFSA-N","Tenofovir","286.0711","NEGATIVE"
"MSBNK-Eawag-EQ501059","LFXZSGVZSSMCMB-UHFFFAOYSA-N","2,5-Dichlorobenzenesulfonic Acid","224.9185","NEGATIVE"
"MSBNK-Eawag-EQ501156","FUVKFLJWBHVMHX-UHFFFAOYSA-N","Perfluorobutylsulphonamide","297.959","NEGATIVE"
"MSBNK-Eawag-EA010258","OTKTUNJJKYTOFF-UHFFFAOYSA-N","Acetochlor OXA","264.1241","NEGATIVE"
"MSBNK-Eawag-EQ289955","ASOKPJOREAFHNY-UHFFFAOYSA-N","1-Hydroxybenzotriazole","134.036","NEGATIVE"
"MSBNK-Eawag-EQ418052","QPVPJECIHVSBLZ-UHFFFAOYSA-N","Metolachlor-TP CGA 368208","256.0649","NEGATIVE"
"MSBNK-Eawag-EQ363457","OTVAEFIXJLOWRX-UHFFFAOYSA-N","Thiamphenicol","353.9975","NEGATIVE"
"MSBNK-Eawag-EA030864","WNTGYJSOUMFZEP-UHFFFAOYSA-N","Mecoprop","213.0324","NEGATIVE"
"MSBNK-Eawag-EA018362","ZZORFUFYDOWNEF-UHFFFAOYSA-N","Sulfadimethoxine","309.0663","NEGATIVE"
"MSBNK-Eawag-EA016260","MUJOIMFVNIBMKC-UHFFFAOYSA-N","Fludioxonil","247.0325","NEGATIVE"
"MSBNK-Eawag-EA016160","BMLIZLVNXIYGCK-UHFFFAOYSA-N","Monuron","197.0487","NEGATIVE"
"MSBNK-Eawag-EQ361055","OWFJMIVZYSDULZ-UHFFFAOYSA-N","Oxytetracycline","459.1409","NEGATIVE"
"MSBNK-Eawag-EA261054","JZUFKLXOESDKRF-UHFFFAOYSA-N","Hydrochlorothiazide","295.9572","NEGATIVE"
"MSBNK-Eawag-EA285962","TUZYXOIXSAXUGO-PZAWKZKUSA-N","Pravastatin","423.2388","NEGATIVE"
"MSBNK-Eawag-EA024360","RZVAJINKPMORJF-UHFFFAOYSA-N","Paracetamol","150.0561","NEGATIVE"
"MSBNK-Eawag-EA026657","CTSLUCNDVMMDHG-UHFFFAOYSA-N","Bromacil","259.0088","NEGATIVE"
"MSBNK-Eawag-EA013858","JWYUFVNJZUSCSM-UHFFFAOYSA-N","2-Aminobenzimidazole","132.0567","NEGATIVE"
"MSBNK-Eawag-EA260357","SDUQYLNIPVEERB-QPPQHZFASA-N","Gemcitabine","262.0645","NEGATIVE"
"MSBNK-Eawag-EQ307154","HEMJJKBWTPKOJG-UHFFFAOYSA-N","Gemfibrozil","249.1496","NEGATIVE"
"MSBNK-Eawag-EQ302653","IPVQLZZIHOAWMC-UHFFFAOYSA-N","Perindopril","367.2238","NEGATIVE"
"MSBNK-Eawag-EQ332251","MXJWRABVEGLYDG-UHFFFAOYSA-N","Bufexamac","222.1136","NEGATIVE"
"MSBNK-Eawag-EQ418157","OHWPIAZSHNMBAC-UHFFFAOYSA-N","Fipronil-TP RPA 200761","453.926","NEGATIVE"
"MSBNK-Eawag-EQ301453","ZAIPMKNFIOOWCQ-UHFFFAOYSA-N","Cefalexin","346.0867","NEGATIVE"
"MSBNK-Eawag-EQ420652","RXDBSQXFIWBJSR-UHFFFAOYSA-N","Azole-TP 1,2,4 triazole acetic acid","126.0309","NEGATIVE"
"MSBNK-Eawag-EQ368558","NOOCSNJCXJYGPE-UHFFFAOYSA-N","Flunixine","295.07","NEGATIVE"
"MSBNK-Eawag-EQ303855","CVXBEEMKQHEXEN-UHFFFAOYSA-N","Carbaryl","200.0717","NEGATIVE"
"MSBNK-Eawag-EA066855","YQIXRXMOJFQVBV-UHFFFAOYSA-N","Simazine-2-hydroxy","182.1047","NEGATIVE"
"MSBNK-Eawag-EA014763","YUVKUEAFAVKILW-UHFFFAOYSA-N","Fluazifop","326.0646","NEGATIVE"
"MSBNK-Eawag-EA266659","ZOCSXAVNDGMNBV-UHFFFAOYSA-N","Fipronil","434.9314","NEGATIVE"
"MSBNK-Eawag-EA029459","IDQHRQQSSQDLTR-UHFFFAOYSA-N","Diuron-desmethyl","216.9941","NEGATIVE"
"MSBNK-Eawag-EQ311452","GBAWQJNHVWMTLU-UHFFFAOYSA-N","Heptenophos","249.0089","NEGATIVE"
"MSBNK-Eawag-EQ316651","DHWRNDJOGMTCPB-UHFFFAOYSA-N","Dimefuron","337.1073","NEGATIVE"
"MSBNK-Eawag-EA273262","BKOBFLVYTXYFQZ-OWOJBTEDSA-N","6:2 fluorotelomer unsaturated carboxylic acid","356.979","NEGATIVE"
"MSBNK-Eawag-EA029955","GXPIUNZCALHVBA-UHFFFAOYSA-N","N4-Acetylsulfamethoxazole","294.0554","NEGATIVE"
"MSBNK-Eawag-EQ279457","PSIFNNKUMBGKDQ-UHFFFAOYSA-N","Losartan","421.1549","NEGATIVE"
"MSBNK-Eawag-EQ360055","NYRMIJKDBAQCHC-UHFFFAOYSA-N","Flurtamone","332.0904","NEGATIVE"
"MSBNK-Eawag-EQ435952","HRGWILAIPXJBIB-UHFFFAOYSA-N","Anabaenopeptin NZ857","856.4251","NEGATIVE"
"MSBNK-Eawag-EQ330456","OIRDTQYFTABQOQ-KQYNXXCUSA-N","Adenosine","266.0895","NEGATIVE"
