"","accession","dname"
"12847","HMDB0075268","X-linked"
"12848","HMDB0075269","3-methylglutaconic aciduria type II"
"12849","HMDB0075269","X-linked"
"12850","HMDB0075270","3-methylglutaconic aciduria type II"
"12851","HMDB0075270","X-linked"
"12852","HMDB0075271","3-methylglutaconic aciduria type II"
"12853","HMDB0075271","X-linked"
"12854","HMDB0075272","3-methylglutaconic aciduria type II"
"12855","HMDB0075272","X-linked"
"12856","HMDB0075273","3-methylglutaconic aciduria type II"
"12857","HMDB0075273","X-linked"
"12858","HMDB0075274","3-methylglutaconic aciduria type II"
"12859","HMDB0075274","X-linked"
"12860","HMDB0075275","3-methylglutaconic aciduria type II"
"12861","HMDB0075275","X-linked"
"12862","HMDB0075276","3-methylglutaconic aciduria type II"
"12863","HMDB0075276","X-linked"
"12864","HMDB0075277","3-methylglutaconic aciduria type II"
"12865","HMDB0075277","X-linked"
"12866","HMDB0075278","3-methylglutaconic aciduria type II"
"12867","HMDB0075278","X-linked"
"12868","HMDB0075279","3-methylglutaconic aciduria type II"
"12869","HMDB0075279","X-linked"
"12870","HMDB0075280","3-methylglutaconic aciduria type II"
"12871","HMDB0075280","X-linked"
"12872","HMDB0075281","3-methylglutaconic aciduria type II"
"12873","HMDB0075281","X-linked"
"12874","HMDB0075282","3-methylglutaconic aciduria type II"
"12875","HMDB0075282","X-linked"
"12876","HMDB0075283","3-methylglutaconic aciduria type II"
"12877","HMDB0075283","X-linked"
"12878","HMDB0075284","3-methylglutaconic aciduria type II"
"12879","HMDB0075284","X-linked"
"12880","HMDB0075285","3-methylglutaconic aciduria type II"
"12881","HMDB0075285","X-linked"
"12882","HMDB0075286","3-methylglutaconic aciduria type II"
"12883","HMDB0075286","X-linked"
"12884","HMDB0075287","3-methylglutaconic aciduria type II"
"12885","HMDB0075287","X-linked"
"12886","HMDB0075288","3-methylglutaconic aciduria type II"
"12887","HMDB0075288","X-linked"
"12888","HMDB0075289","3-methylglutaconic aciduria type II"
"12889","HMDB0075289","X-linked"
"12890","HMDB0075290","3-methylglutaconic aciduria type II"
"12891","HMDB0075290","X-linked"
"12892","HMDB0075291","3-methylglutaconic aciduria type II"
"12893","HMDB0075291","X-linked"
"12894","HMDB0075292","3-methylglutaconic aciduria type II"
"12895","HMDB0075292","X-linked"
"12896","HMDB0075293","3-methylglutaconic aciduria type II"
"12897","HMDB0075293","X-linked"
"12898","HMDB0075294","3-methylglutaconic aciduria type II"
"12899","HMDB0075294","X-linked"
"12900","HMDB0075295","3-methylglutaconic aciduria type II"
"12901","HMDB0075295","X-linked"
"12902","HMDB0075296","3-methylglutaconic aciduria type II"
"12903","HMDB0075296","X-linked"
"12904","HMDB0075297","3-methylglutaconic aciduria type II"
"12905","HMDB0075297","X-linked"
"12906","HMDB0075298","3-methylglutaconic aciduria type II"
"12907","HMDB0075298","X-linked"
"12908","HMDB0075299","3-methylglutaconic aciduria type II"
"12909","HMDB0075299","X-linked"
"12910","HMDB0075300","3-methylglutaconic aciduria type II"
"12911","HMDB0075300","X-linked"
"12912","HMDB0075301","3-methylglutaconic aciduria type II"
"12913","HMDB0075301","X-linked"
"12914","HMDB0075302","3-methylglutaconic aciduria type II"
"12915","HMDB0075302","X-linked"
"12916","HMDB0075303","3-methylglutaconic aciduria type II"
"12917","HMDB0075303","X-linked"
"12918","HMDB0075304","3-methylglutaconic aciduria type II"
"12919","HMDB0075304","X-linked"
"12920","HMDB0075305","3-methylglutaconic aciduria type II"
"12921","HMDB0075305","X-linked"
"12922","HMDB0075306","3-methylglutaconic aciduria type II"
"12923","HMDB0075306","X-linked"
"12924","HMDB0075307","3-methylglutaconic aciduria type II"
"12925","HMDB0075307","X-linked"
"12926","HMDB0075308","3-methylglutaconic aciduria type II"
"12927","HMDB0075308","X-linked"
"12928","HMDB0075309","3-methylglutaconic aciduria type II"
"12929","HMDB0075309","X-linked"
"12930","HMDB0075310","3-methylglutaconic aciduria type II"
"12931","HMDB0075310","X-linked"
"12932","HMDB0075311","3-methylglutaconic aciduria type II"
"12933","HMDB0075311","X-linked"
"12934","HMDB0075312","3-methylglutaconic aciduria type II"
"12935","HMDB0075312","X-linked"
"12936","HMDB0075313","3-methylglutaconic aciduria type II"
"12937","HMDB0075313","X-linked"
"12938","HMDB0075314","3-methylglutaconic aciduria type II"
"12939","HMDB0075314","X-linked"
"12940","HMDB0075315","3-methylglutaconic aciduria type II"
"12941","HMDB0075315","X-linked"
"12942","HMDB0075316","3-methylglutaconic aciduria type II"
"12943","HMDB0075316","X-linked"
"12944","HMDB0075317","3-methylglutaconic aciduria type II"
"12945","HMDB0075317","X-linked"
"12946","HMDB0075318","3-methylglutaconic aciduria type II"
"12947","HMDB0075318","X-linked"
"12948","HMDB0075319","3-methylglutaconic aciduria type II"
"12949","HMDB0075319","X-linked"
"12950","HMDB0075320","3-methylglutaconic aciduria type II"
"12951","HMDB0075320","X-linked"
"12952","HMDB0075321","3-methylglutaconic aciduria type II"
"12953","HMDB0075321","X-linked"
"12954","HMDB0075322","3-methylglutaconic aciduria type II"
"12955","HMDB0075322","X-linked"
"12956","HMDB0075323","3-methylglutaconic aciduria type II"
"12957","HMDB0075323","X-linked"
"12958","HMDB0075324","3-methylglutaconic aciduria type II"
"12959","HMDB0075324","X-linked"
"12960","HMDB0075325","3-methylglutaconic aciduria type II"
"12961","HMDB0075325","X-linked"
"12962","HMDB0075326","3-methylglutaconic aciduria type II"
"12963","HMDB0075326","X-linked"
"12964","HMDB0075327","3-methylglutaconic aciduria type II"
"12965","HMDB0075327","X-linked"
"12966","HMDB0075328","3-methylglutaconic aciduria type II"
"12967","HMDB0075328","X-linked"
"12968","HMDB0075329","3-methylglutaconic aciduria type II"
"12969","HMDB0075329","X-linked"
"12970","HMDB0075330","3-methylglutaconic aciduria type II"
"12971","HMDB0075330","X-linked"
"12972","HMDB0075331","3-methylglutaconic aciduria type II"
"12973","HMDB0075331","X-linked"
"12974","HMDB0075332","3-methylglutaconic aciduria type II"
"12975","HMDB0075332","X-linked"
"12976","HMDB0075333","3-methylglutaconic aciduria type II"
"12977","HMDB0075333","X-linked"
"12978","HMDB0075334","3-methylglutaconic aciduria type II"
"12979","HMDB0075334","X-linked"
"12980","HMDB0075335","3-methylglutaconic aciduria type II"
"12981","HMDB0075335","X-linked"
"12982","HMDB0075336","3-methylglutaconic aciduria type II"
"12983","HMDB0075336","X-linked"
"12984","HMDB0075337","3-methylglutaconic aciduria type II"
"12985","HMDB0075337","X-linked"
"12986","HMDB0075338","3-methylglutaconic aciduria type II"
"12987","HMDB0075338","X-linked"
"12988","HMDB0075339","3-methylglutaconic aciduria type II"
"12989","HMDB0075339","X-linked"
"12990","HMDB0075340","3-methylglutaconic aciduria type II"
"12991","HMDB0075340","X-linked"
"12992","HMDB0075341","3-methylglutaconic aciduria type II"
"12993","HMDB0075341","X-linked"
"12994","HMDB0075342","3-methylglutaconic aciduria type II"
"12995","HMDB0075342","X-linked"
"12996","HMDB0075343","3-methylglutaconic aciduria type II"
"12997","HMDB0075343","X-linked"
"12998","HMDB0075344","3-methylglutaconic aciduria type II"
"12999","HMDB0075344","X-linked"
"13000","HMDB0075345","3-methylglutaconic aciduria type II"
"13001","HMDB0075345","X-linked"
"13002","HMDB0075346","3-methylglutaconic aciduria type II"
"13003","HMDB0075346","X-linked"
"13004","HMDB0075347","3-methylglutaconic aciduria type II"
"13005","HMDB0075347","X-linked"
"13006","HMDB0075348","3-methylglutaconic aciduria type II"
"13007","HMDB0075348","X-linked"
"13008","HMDB0075349","3-methylglutaconic aciduria type II"
"13009","HMDB0075349","X-linked"
"13010","HMDB0075350","3-methylglutaconic aciduria type II"
"13011","HMDB0075350","X-linked"
"13012","HMDB0075351","3-methylglutaconic aciduria type II"
"13013","HMDB0075351","X-linked"
"13014","HMDB0075352","3-methylglutaconic aciduria type II"
"13015","HMDB0075352","X-linked"
"13016","HMDB0075353","3-methylglutaconic aciduria type II"
"13017","HMDB0075353","X-linked"
"13018","HMDB0075354","3-methylglutaconic aciduria type II"
"13019","HMDB0075354","X-linked"
"13020","HMDB0075355","3-methylglutaconic aciduria type II"
"13021","HMDB0075355","X-linked"
"13022","HMDB0075356","3-methylglutaconic aciduria type II"
"13023","HMDB0075356","X-linked"
"13024","HMDB0075357","3-methylglutaconic aciduria type II"
"13025","HMDB0075357","X-linked"
"13026","HMDB0075358","3-methylglutaconic aciduria type II"
"13027","HMDB0075358","X-linked"
"13028","HMDB0075359","3-methylglutaconic aciduria type II"
"13029","HMDB0075359","X-linked"
"13030","HMDB0075360","3-methylglutaconic aciduria type II"
"13031","HMDB0075360","X-linked"
"13032","HMDB0075361","3-methylglutaconic aciduria type II"
"13033","HMDB0075361","X-linked"
"13034","HMDB0075362","3-methylglutaconic aciduria type II"
"13035","HMDB0075362","X-linked"
"13036","HMDB0075363","3-methylglutaconic aciduria type II"
"13037","HMDB0075363","X-linked"
"13038","HMDB0075364","3-methylglutaconic aciduria type II"
"13039","HMDB0075364","X-linked"
"13040","HMDB0075365","3-methylglutaconic aciduria type II"
"13041","HMDB0075365","X-linked"
"13042","HMDB0075366","3-methylglutaconic aciduria type II"
"13043","HMDB0075366","X-linked"
"13044","HMDB0075367","3-methylglutaconic aciduria type II"
"13045","HMDB0075367","X-linked"
"13046","HMDB0075368","3-methylglutaconic aciduria type II"
"13047","HMDB0075368","X-linked"
"13048","HMDB0075369","3-methylglutaconic aciduria type II"
"13049","HMDB0075369","X-linked"
"13050","HMDB0075370","3-methylglutaconic aciduria type II"
"13051","HMDB0075370","X-linked"
"13052","HMDB0075371","3-methylglutaconic aciduria type II"
"13053","HMDB0075371","X-linked"
"13054","HMDB0075372","3-methylglutaconic aciduria type II"
"13055","HMDB0075372","X-linked"
"13056","HMDB0075373","3-methylglutaconic aciduria type II"
"13057","HMDB0075373","X-linked"
"13058","HMDB0075374","3-methylglutaconic aciduria type II"
"13059","HMDB0075374","X-linked"
"13060","HMDB0075375","3-methylglutaconic aciduria type II"
"13061","HMDB0075375","X-linked"
"13062","HMDB0075376","3-methylglutaconic aciduria type II"
"13063","HMDB0075376","X-linked"
"13064","HMDB0075377","3-methylglutaconic aciduria type II"
"13065","HMDB0075377","X-linked"
"13066","HMDB0075378","3-methylglutaconic aciduria type II"
"13067","HMDB0075378","X-linked"
"13068","HMDB0075379","3-methylglutaconic aciduria type II"
"13069","HMDB0075379","X-linked"
"13070","HMDB0075380","3-methylglutaconic aciduria type II"
"13071","HMDB0075380","X-linked"
"13072","HMDB0075381","3-methylglutaconic aciduria type II"
"13073","HMDB0075381","X-linked"
"13074","HMDB0075382","3-methylglutaconic aciduria type II"
"13075","HMDB0075382","X-linked"
"13076","HMDB0075383","3-methylglutaconic aciduria type II"
"13077","HMDB0075383","X-linked"
"13078","HMDB0075384","3-methylglutaconic aciduria type II"
"13079","HMDB0075384","X-linked"
"13080","HMDB0075385","3-methylglutaconic aciduria type II"
"13081","HMDB0075385","X-linked"
"13082","HMDB0075386","3-methylglutaconic aciduria type II"
"13083","HMDB0075386","X-linked"
"13084","HMDB0075387","3-methylglutaconic aciduria type II"
"13085","HMDB0075387","X-linked"
"13086","HMDB0075388","3-methylglutaconic aciduria type II"
"13087","HMDB0075388","X-linked"
"13088","HMDB0075389","3-methylglutaconic aciduria type II"
"13089","HMDB0075389","X-linked"
"13090","HMDB0075390","3-methylglutaconic aciduria type II"
"13091","HMDB0075390","X-linked"
"13092","HMDB0075391","3-methylglutaconic aciduria type II"
"13093","HMDB0075391","X-linked"
"13094","HMDB0075392","3-methylglutaconic aciduria type II"
"13095","HMDB0075392","X-linked"
"13096","HMDB0075393","3-methylglutaconic aciduria type II"
"13097","HMDB0075393","X-linked"
"13098","HMDB0075394","3-methylglutaconic aciduria type II"
"13099","HMDB0075394","X-linked"
"13100","HMDB0075395","3-methylglutaconic aciduria type II"
"13101","HMDB0075395","X-linked"
"13102","HMDB0075396","3-methylglutaconic aciduria type II"
"13103","HMDB0075396","X-linked"
"13104","HMDB0075397","3-methylglutaconic aciduria type II"
"13105","HMDB0075397","X-linked"
"13106","HMDB0075398","3-methylglutaconic aciduria type II"
"13107","HMDB0075398","X-linked"
"13108","HMDB0075399","3-methylglutaconic aciduria type II"
"13109","HMDB0075399","X-linked"
"13110","HMDB0075400","3-methylglutaconic aciduria type II"
"13111","HMDB0075400","X-linked"
"13112","HMDB0075401","3-methylglutaconic aciduria type II"
"13113","HMDB0075401","X-linked"
"13114","HMDB0075402","3-methylglutaconic aciduria type II"
"13115","HMDB0075402","X-linked"
"13116","HMDB0075403","3-methylglutaconic aciduria type II"
"13117","HMDB0075403","X-linked"
"13118","HMDB0075404","3-methylglutaconic aciduria type II"
"13119","HMDB0075404","X-linked"
"13120","HMDB0075405","3-methylglutaconic aciduria type II"
"13121","HMDB0075405","X-linked"
"13122","HMDB0075406","3-methylglutaconic aciduria type II"
"13123","HMDB0075406","X-linked"
"13124","HMDB0075407","3-methylglutaconic aciduria type II"
"13125","HMDB0075407","X-linked"
"13126","HMDB0075408","3-methylglutaconic aciduria type II"
"13127","HMDB0075408","X-linked"
"13128","HMDB0075409","3-methylglutaconic aciduria type II"
"13129","HMDB0075409","X-linked"
"13130","HMDB0075410","3-methylglutaconic aciduria type II"
"13131","HMDB0075410","X-linked"
"13132","HMDB0075411","3-methylglutaconic aciduria type II"
"13133","HMDB0075411","X-linked"
"13134","HMDB0075412","3-methylglutaconic aciduria type II"
"13135","HMDB0075412","X-linked"
"13136","HMDB0075413","3-methylglutaconic aciduria type II"
"13137","HMDB0075413","X-linked"
"13138","HMDB0075414","3-methylglutaconic aciduria type II"
"13139","HMDB0075414","X-linked"
"13140","HMDB0075415","3-methylglutaconic aciduria type II"
"13141","HMDB0075415","X-linked"
"13142","HMDB0075416","3-methylglutaconic aciduria type II"
"13143","HMDB0075416","X-linked"
"13144","HMDB0075417","3-methylglutaconic aciduria type II"
"13145","HMDB0075417","X-linked"
"13146","HMDB0075418","3-methylglutaconic aciduria type II"
"13147","HMDB0075418","X-linked"
"13148","HMDB0075419","3-methylglutaconic aciduria type II"
"13149","HMDB0075419","X-linked"
"13150","HMDB0075420","3-methylglutaconic aciduria type II"
"13151","HMDB0075420","X-linked"
"13152","HMDB0075421","3-methylglutaconic aciduria type II"
"13153","HMDB0075421","X-linked"
"13154","HMDB0075422","3-methylglutaconic aciduria type II"
"13155","HMDB0075422","X-linked"
"13156","HMDB0075423","3-methylglutaconic aciduria type II"
"13157","HMDB0075423","X-linked"
"13158","HMDB0075424","3-methylglutaconic aciduria type II"
"13159","HMDB0075424","X-linked"
"13160","HMDB0075425","3-methylglutaconic aciduria type II"
"13161","HMDB0075425","X-linked"
"13162","HMDB0075426","3-methylglutaconic aciduria type II"
"13163","HMDB0075426","X-linked"
"13164","HMDB0075427","3-methylglutaconic aciduria type II"
"13165","HMDB0075427","X-linked"
"13166","HMDB0075428","3-methylglutaconic aciduria type II"
"13167","HMDB0075428","X-linked"
"13168","HMDB0075429","3-methylglutaconic aciduria type II"
"13169","HMDB0075429","X-linked"
"13170","HMDB0075430","3-methylglutaconic aciduria type II"
"13171","HMDB0075430","X-linked"
"13172","HMDB0075431","3-methylglutaconic aciduria type II"
"13173","HMDB0075431","X-linked"
"13174","HMDB0075432","3-methylglutaconic aciduria type II"
"13175","HMDB0075432","X-linked"
"13176","HMDB0075433","3-methylglutaconic aciduria type II"
"13177","HMDB0075433","X-linked"
"13178","HMDB0075434","3-methylglutaconic aciduria type II"
"13179","HMDB0075434","X-linked"
"13180","HMDB0075435","3-methylglutaconic aciduria type II"
"13181","HMDB0075435","X-linked"
"13182","HMDB0075436","3-methylglutaconic aciduria type II"
"13183","HMDB0075436","X-linked"
"13184","HMDB0075437","3-methylglutaconic aciduria type II"
"13185","HMDB0075437","X-linked"
"13186","HMDB0075438","3-methylglutaconic aciduria type II"
"13187","HMDB0075438","X-linked"
"13188","HMDB0075439","3-methylglutaconic aciduria type II"
"13189","HMDB0075439","X-linked"
"13190","HMDB0075440","3-methylglutaconic aciduria type II"
"13191","HMDB0075440","X-linked"
"13192","HMDB0075441","3-methylglutaconic aciduria type II"
"13193","HMDB0075441","X-linked"
"13194","HMDB0075442","3-methylglutaconic aciduria type II"
"13195","HMDB0075442","X-linked"
"13196","HMDB0075443","3-methylglutaconic aciduria type II"
"13197","HMDB0075443","X-linked"
"13198","HMDB0075444","3-methylglutaconic aciduria type II"
"13199","HMDB0075444","X-linked"
"13200","HMDB0075445","3-methylglutaconic aciduria type II"
"13201","HMDB0075445","X-linked"
"13202","HMDB0075446","3-methylglutaconic aciduria type II"
"13203","HMDB0075446","X-linked"
"13204","HMDB0075447","3-methylglutaconic aciduria type II"
"13205","HMDB0075447","X-linked"
"13206","HMDB0075448","3-methylglutaconic aciduria type II"
"13207","HMDB0075448","X-linked"
"13208","HMDB0075449","3-methylglutaconic aciduria type II"
"13209","HMDB0075449","X-linked"
"13210","HMDB0075450","3-methylglutaconic aciduria type II"
"13211","HMDB0075450","X-linked"
"13212","HMDB0075451","3-methylglutaconic aciduria type II"
"13213","HMDB0075451","X-linked"
"13214","HMDB0075452","3-methylglutaconic aciduria type II"
"13215","HMDB0075452","X-linked"
"13216","HMDB0075453","3-methylglutaconic aciduria type II"
"13217","HMDB0075453","X-linked"
"13218","HMDB0075454","3-methylglutaconic aciduria type II"
"13219","HMDB0075454","X-linked"
"13220","HMDB0075455","3-methylglutaconic aciduria type II"
"13221","HMDB0075455","X-linked"
"13222","HMDB0075456","3-methylglutaconic aciduria type II"
"13223","HMDB0075456","X-linked"
"13224","HMDB0075457","3-methylglutaconic aciduria type II"
"13225","HMDB0075457","X-linked"
"13226","HMDB0075458","3-methylglutaconic aciduria type II"
"13227","HMDB0075458","X-linked"
"13228","HMDB0075459","3-methylglutaconic aciduria type II"
"13229","HMDB0075459","X-linked"
"13230","HMDB0075460","3-methylglutaconic aciduria type II"
"13231","HMDB0075460","X-linked"
"13232","HMDB0075461","3-methylglutaconic aciduria type II"
"13233","HMDB0075461","X-linked"
"13234","HMDB0075462","3-methylglutaconic aciduria type II"
"13235","HMDB0075462","X-linked"
"13236","HMDB0075463","3-methylglutaconic aciduria type II"
"13237","HMDB0075463","X-linked"
"13238","HMDB0075464","3-methylglutaconic aciduria type II"
"13239","HMDB0075464","X-linked"
"13240","HMDB0075465","3-methylglutaconic aciduria type II"
"13241","HMDB0075465","X-linked"
"13242","HMDB0075466","3-methylglutaconic aciduria type II"
"13243","HMDB0075466","X-linked"
"13244","HMDB0075467","3-methylglutaconic aciduria type II"
"13245","HMDB0075467","X-linked"
"13246","HMDB0075468","3-methylglutaconic aciduria type II"
"13247","HMDB0075468","X-linked"
"13248","HMDB0075469","3-methylglutaconic aciduria type II"
"13249","HMDB0075469","X-linked"
"13250","HMDB0075470","3-methylglutaconic aciduria type II"
"13251","HMDB0075470","X-linked"
"13252","HMDB0075471","3-methylglutaconic aciduria type II"
"13253","HMDB0075471","X-linked"
"13254","HMDB0075472","3-methylglutaconic aciduria type II"
"13255","HMDB0075472","X-linked"
"13256","HMDB0075473","3-methylglutaconic aciduria type II"
"13257","HMDB0075473","X-linked"
"13258","HMDB0075474","3-methylglutaconic aciduria type II"
"13259","HMDB0075474","X-linked"
"13260","HMDB0075475","3-methylglutaconic aciduria type II"
"13261","HMDB0075475","X-linked"
"13262","HMDB0075476","3-methylglutaconic aciduria type II"
"13263","HMDB0075476","X-linked"
"13264","HMDB0075477","3-methylglutaconic aciduria type II"
"13265","HMDB0075477","X-linked"
"13266","HMDB0075478","3-methylglutaconic aciduria type II"
"13267","HMDB0075478","X-linked"
"13268","HMDB0075479","3-methylglutaconic aciduria type II"
"13269","HMDB0075479","X-linked"
"13270","HMDB0075480","3-methylglutaconic aciduria type II"
"13271","HMDB0075480","X-linked"
"13272","HMDB0075481","3-methylglutaconic aciduria type II"
"13273","HMDB0075481","X-linked"
"13274","HMDB0075482","3-methylglutaconic aciduria type II"
"13275","HMDB0075482","X-linked"
"13276","HMDB0075483","3-methylglutaconic aciduria type II"
"13277","HMDB0075483","X-linked"
"13278","HMDB0075484","3-methylglutaconic aciduria type II"
"13279","HMDB0075484","X-linked"
"13280","HMDB0075485","3-methylglutaconic aciduria type II"
"13281","HMDB0075485","X-linked"
"13282","HMDB0075486","3-methylglutaconic aciduria type II"
"13283","HMDB0075486","X-linked"
"13284","HMDB0075487","3-methylglutaconic aciduria type II"
"13285","HMDB0075487","X-linked"
"13286","HMDB0075488","3-methylglutaconic aciduria type II"
"13287","HMDB0075488","X-linked"
"13288","HMDB0075489","3-methylglutaconic aciduria type II"
"13289","HMDB0075489","X-linked"
"13290","HMDB0075490","3-methylglutaconic aciduria type II"
"13291","HMDB0075490","X-linked"
"13292","HMDB0075491","3-methylglutaconic aciduria type II"
"13293","HMDB0075491","X-linked"
"13294","HMDB0075492","3-methylglutaconic aciduria type II"
"13295","HMDB0075492","X-linked"
"13296","HMDB0075493","3-methylglutaconic aciduria type II"
"13297","HMDB0075493","X-linked"
"13298","HMDB0075494","3-methylglutaconic aciduria type II"
"13299","HMDB0075494","X-linked"
"13300","HMDB0075495","3-methylglutaconic aciduria type II"
"13301","HMDB0075495","X-linked"
"13302","HMDB0075496","3-methylglutaconic aciduria type II"
"13303","HMDB0075496","X-linked"
"13304","HMDB0075497","3-methylglutaconic aciduria type II"
"13305","HMDB0075497","X-linked"
"13306","HMDB0075498","3-methylglutaconic aciduria type II"
"13307","HMDB0075498","X-linked"
"13308","HMDB0075499","3-methylglutaconic aciduria type II"
"13309","HMDB0075499","X-linked"
"13310","HMDB0075500","3-methylglutaconic aciduria type II"
"13311","HMDB0075500","X-linked"
"13312","HMDB0075501","3-methylglutaconic aciduria type II"
"13313","HMDB0075501","X-linked"
"13314","HMDB0075502","3-methylglutaconic aciduria type II"
"13315","HMDB0075502","X-linked"
"13316","HMDB0075503","3-methylglutaconic aciduria type II"
"13317","HMDB0075503","X-linked"
"13318","HMDB0075504","3-methylglutaconic aciduria type II"
"13319","HMDB0075504","X-linked"
"13320","HMDB0075505","3-methylglutaconic aciduria type II"
"13321","HMDB0075505","X-linked"
"13322","HMDB0075506","3-methylglutaconic aciduria type II"
"13323","HMDB0075506","X-linked"
"13324","HMDB0075507","3-methylglutaconic aciduria type II"
"13325","HMDB0075507","X-linked"
"13326","HMDB0075508","3-methylglutaconic aciduria type II"
"13327","HMDB0075508","X-linked"
"13328","HMDB0075509","3-methylglutaconic aciduria type II"
"13329","HMDB0075509","X-linked"
"13330","HMDB0075510","3-methylglutaconic aciduria type II"
"13331","HMDB0075510","X-linked"
"13332","HMDB0075511","3-methylglutaconic aciduria type II"
"13333","HMDB0075511","X-linked"
"13334","HMDB0075512","3-methylglutaconic aciduria type II"
"13335","HMDB0075512","X-linked"
"13336","HMDB0075513","3-methylglutaconic aciduria type II"
"13337","HMDB0075513","X-linked"
"13338","HMDB0075514","3-methylglutaconic aciduria type II"
"13339","HMDB0075514","X-linked"
"13340","HMDB0075515","3-methylglutaconic aciduria type II"
"13341","HMDB0075515","X-linked"
"13342","HMDB0075516","3-methylglutaconic aciduria type II"
"13343","HMDB0075516","X-linked"
"13344","HMDB0075517","3-methylglutaconic aciduria type II"
"13345","HMDB0075517","X-linked"
"13346","HMDB0075518","3-methylglutaconic aciduria type II"
"13347","HMDB0075518","X-linked"
"13348","HMDB0075519","3-methylglutaconic aciduria type II"
"13349","HMDB0075519","X-linked"
"13350","HMDB0075520","3-methylglutaconic aciduria type II"
"13351","HMDB0075520","X-linked"
"13352","HMDB0075521","3-methylglutaconic aciduria type II"
"13353","HMDB0075521","X-linked"
"13354","HMDB0075522","3-methylglutaconic aciduria type II"
"13355","HMDB0075522","X-linked"
"13356","HMDB0075523","3-methylglutaconic aciduria type II"
"13357","HMDB0075523","X-linked"
"13358","HMDB0075524","3-methylglutaconic aciduria type II"
"13359","HMDB0075524","X-linked"
"13360","HMDB0075525","3-methylglutaconic aciduria type II"
"13361","HMDB0075525","X-linked"
"13362","HMDB0075526","3-methylglutaconic aciduria type II"
"13363","HMDB0075526","X-linked"
"13364","HMDB0075527","3-methylglutaconic aciduria type II"
"13365","HMDB0075527","X-linked"
"13366","HMDB0075528","3-methylglutaconic aciduria type II"
"13367","HMDB0075528","X-linked"
"13368","HMDB0075529","3-methylglutaconic aciduria type II"
"13369","HMDB0075529","X-linked"
"13370","HMDB0075530","3-methylglutaconic aciduria type II"
"13371","HMDB0075530","X-linked"
"13372","HMDB0075531","3-methylglutaconic aciduria type II"
"13373","HMDB0075531","X-linked"
"13374","HMDB0075532","3-methylglutaconic aciduria type II"
"13375","HMDB0075532","X-linked"
"13376","HMDB0075533","3-methylglutaconic aciduria type II"
"13377","HMDB0075533","X-linked"
"13378","HMDB0075534","3-methylglutaconic aciduria type II"
"13379","HMDB0075534","X-linked"
"13380","HMDB0075535","3-methylglutaconic aciduria type II"
"13381","HMDB0075535","X-linked"
"13382","HMDB0075536","3-methylglutaconic aciduria type II"
"13383","HMDB0075536","X-linked"
"13384","HMDB0075537","3-methylglutaconic aciduria type II"
"13385","HMDB0075537","X-linked"
"13386","HMDB0075538","3-methylglutaconic aciduria type II"
"13387","HMDB0075538","X-linked"
"13388","HMDB0075539","3-methylglutaconic aciduria type II"
"13389","HMDB0075539","X-linked"
"13390","HMDB0075540","3-methylglutaconic aciduria type II"
"13391","HMDB0075540","X-linked"
"13392","HMDB0075541","3-methylglutaconic aciduria type II"
"13393","HMDB0075541","X-linked"
"13394","HMDB0075542","3-methylglutaconic aciduria type II"
"13395","HMDB0075542","X-linked"
"13396","HMDB0075543","3-methylglutaconic aciduria type II"
"13397","HMDB0075543","X-linked"
"13398","HMDB0075544","3-methylglutaconic aciduria type II"
"13399","HMDB0075544","X-linked"
"13400","HMDB0075545","3-methylglutaconic aciduria type II"
"13401","HMDB0075545","X-linked"
"13402","HMDB0075546","3-methylglutaconic aciduria type II"
"13403","HMDB0075546","X-linked"
"13404","HMDB0075547","3-methylglutaconic aciduria type II"
"13405","HMDB0075547","X-linked"
"13406","HMDB0075548","3-methylglutaconic aciduria type II"
"13407","HMDB0075548","X-linked"
"13408","HMDB0075549","3-methylglutaconic aciduria type II"
"13409","HMDB0075549","X-linked"
"13410","HMDB0075550","3-methylglutaconic aciduria type II"
"13411","HMDB0075550","X-linked"
"13412","HMDB0075551","3-methylglutaconic aciduria type II"
"13413","HMDB0075551","X-linked"
"13414","HMDB0075552","3-methylglutaconic aciduria type II"
"13415","HMDB0075552","X-linked"
"13416","HMDB0075553","3-methylglutaconic aciduria type II"
"13417","HMDB0075553","X-linked"
"13418","HMDB0075554","3-methylglutaconic aciduria type II"
"13419","HMDB0075554","X-linked"
"13420","HMDB0075555","3-methylglutaconic aciduria type II"
"13421","HMDB0075555","X-linked"
"13422","HMDB0075556","3-methylglutaconic aciduria type II"
"13423","HMDB0075556","X-linked"
"13424","HMDB0075557","3-methylglutaconic aciduria type II"
"13425","HMDB0075557","X-linked"
"13426","HMDB0075558","3-methylglutaconic aciduria type II"
"13427","HMDB0075558","X-linked"
"13428","HMDB0075559","3-methylglutaconic aciduria type II"
"13429","HMDB0075559","X-linked"
"13430","HMDB0075560","3-methylglutaconic aciduria type II"
"13431","HMDB0075560","X-linked"
"13432","HMDB0075561","3-methylglutaconic aciduria type II"
"13433","HMDB0075561","X-linked"
"13434","HMDB0075562","3-methylglutaconic aciduria type II"
"13435","HMDB0075562","X-linked"
"13436","HMDB0075563","3-methylglutaconic aciduria type II"
"13437","HMDB0075563","X-linked"
"13438","HMDB0075564","3-methylglutaconic aciduria type II"
"13439","HMDB0075564","X-linked"
"13440","HMDB0075565","3-methylglutaconic aciduria type II"
"13441","HMDB0075565","X-linked"
