"","accession","route_of_exposure"
"1002","T3D1196","oral"
"1003","T3D1197","oral"
"1004","T3D1198","oral"
"1005","T3D1199","oral"
"1006","T3D1200","oral"
"1007","T3D1201","oral"
"1008","T3D1202","oral"
"1009","T3D1203","oral"
"1010","T3D1204","oral"
"1011","T3D1206","oral"
"1012","T3D1207","oral"
"1013","T3D1208","oral"
"1014","T3D1209","oral"
"1015","T3D1211","oral"
"1016","T3D1212","oral"
"1017","T3D1215","oral"
"1018","T3D1217","oral"
"1019","T3D1219","oral"
"1020","T3D1220","oral"
"1021","T3D1221","oral"
"1022","T3D1222","oral"
"1023","T3D1223","oral"
"1024","T3D1224","oral"
"1025","T3D1225","oral"
"1026","T3D1226","oral"
"1027","T3D1227","oral"
"1028","T3D1228","oral"
"1029","T3D1229","oral"
"1030","T3D1230","oral"
"1031","T3D1231","oral"
"1032","T3D1232","oral"
"1033","T3D1234","oral"
"1034","T3D1236","oral"
"1035","T3D1237","oral"
"1036","T3D1238","oral"
"1037","T3D1239","oral"
"1038","T3D1240","oral"
"1039","T3D1241","oral"
"1040","T3D1242","oral"
"1041","T3D1243","oral"
"1042","T3D1244","oral"
"1043","T3D1245","oral"
"1044","T3D1246","oral"
"1045","T3D1248","oral"
"1046","T3D1249","oral"
"1047","T3D1250","oral"
"1048","T3D1251","oral"
"1049","T3D1252","oral"
"1050","T3D1253","oral"
"1051","T3D1254","oral"
"1052","T3D1255","oral"
"1053","T3D1256","oral"
"1054","T3D1257","oral"
"1055","T3D1258","oral"
"1056","T3D1259","oral"
"1057","T3D1260","oral"
"1058","T3D1261","oral"
"1059","T3D1262","oral"
"1060","T3D1263","oral"
"1061","T3D1264","oral"
"1062","T3D1265","oral"
"1063","T3D1266","oral"
"1064","T3D1267","oral"
"1065","T3D1268","oral"
"1066","T3D1269","oral"
"1067","T3D1270","oral"
"1068","T3D1271","oral"
"1069","T3D1272","oral"
"1070","T3D1273","oral"
"1071","T3D1274","oral"
"1072","T3D1275","oral"
"1073","T3D1277","oral"
"1074","T3D1278","oral"
"1075","T3D1279","oral"
"1076","T3D1280","oral"
"1077","T3D1281","oral"
"1078","T3D1282","oral"
"1079","T3D1283","oral"
"1080","T3D1284","oral"
"1081","T3D1285","oral"
"1082","T3D1286","oral"
"1083","T3D1287","oral"
"1084","T3D1289","oral"
"1085","T3D1290","oral"
"1086","T3D1291","oral"
"1087","T3D1292","oral"
"1088","T3D1293","oral"
"1089","T3D1294","oral"
"1090","T3D1295","oral"
"1091","T3D1296","oral"
"1092","T3D1297","oral"
"1093","T3D1298","oral"
"1094","T3D1299","oral"
"1095","T3D1300","oral"
"1096","T3D1301","oral"
"1097","T3D1302","oral"
"1098","T3D1303","oral"
"1099","T3D1304","oral"
"1100","T3D1305","oral"
"1101","T3D1306","oral"
"1102","T3D1307","oral"
"1103","T3D1308","oral"
"1104","T3D1309","oral"
"1105","T3D1310","oral"
"1106","T3D1311","oral"
"1107","T3D1312","oral"
"1108","T3D1313","oral"
"1109","T3D1314","oral"
"1110","T3D1316","oral"
"1111","T3D1317","oral"
"1112","T3D1318","oral"
"1113","T3D1319","oral"
"1114","T3D1320","oral"
"1115","T3D1321","oral"
"1116","T3D1322","oral"
"1117","T3D1323","oral"
"1118","T3D1324","oral"
"1119","T3D1325","oral"
"1120","T3D1326","oral"
"1121","T3D1327","oral"
"1122","T3D1328","oral"
"1123","T3D1329","oral"
"1124","T3D1330","oral"
"1125","T3D1331","oral"
"1126","T3D1332","oral"
"1127","T3D1333","oral"
"1128","T3D1334","oral"
"1129","T3D1335","oral"
"1130","T3D1337","oral"
"1131","T3D1338","oral"
"1132","T3D1339","oral"
"1133","T3D1340","oral"
"1134","T3D1341","oral"
"1135","T3D1342","oral"
"1136","T3D1343","oral"
"1137","T3D1344","oral"
"1138","T3D1345","oral"
"1139","T3D1346","oral"
"1140","T3D1347","oral"
"1141","T3D1348","oral"
"1142","T3D1349","oral"
"1143","T3D1350","oral"
"1144","T3D1351","oral"
"1145","T3D1352","oral"
"1146","T3D1353","oral"
"1147","T3D1354","oral"
"1148","T3D1355","oral"
"1149","T3D1356","oral"
"1150","T3D1357","oral"
"1151","T3D1358","oral"
"1152","T3D1359","oral"
"1153","T3D1360","oral"
"1154","T3D1361","oral"
"1155","T3D1362","oral"
"1156","T3D1363","oral"
"1157","T3D1364","oral"
"1158","T3D1367","oral"
"1159","T3D1371","oral"
"1160","T3D1372","oral"
"1161","T3D1373","oral"
"1162","T3D1374","oral"
"1163","T3D1375","inhalation"
"1164","T3D1376","oral"
"1165","T3D1377","inhalation"
"1166","T3D1383","inhalation"
"1167","T3D1385","inhalation"
"1168","T3D1387","inhalation"
"1169","T3D1388","inhalation"
"1170","T3D1389","inhalation"
"1171","T3D1390","inhalation"
"1172","T3D1392","inhalation"
"1173","T3D1393","inhalation"
"1174","T3D1394","inhalation"
"1175","T3D1395","inhalation"
"1176","T3D1398","inhalation"
"1177","T3D1399","inhalation"
"1178","T3D1400","inhalation"
"1179","T3D1401","inhalation"
"1180","T3D1402","inhalation"
"1181","T3D1403","inhalation"
"1182","T3D1404","inhalation"
"1183","T3D1409","oral"
"1184","T3D1411","oral"
"1185","T3D1412","oral"
"1186","T3D1413","oral"
"1187","T3D1414","oral"
"1188","T3D1415","oral"
"1189","T3D1416","oral"
"1190","T3D1417","oral"
"1191","T3D1418","oral"
"1192","T3D1422","oral"
"1193","T3D1425","oral"
"1194","T3D1426","oral"
"1195","T3D1427","oral"
"1196","T3D1428","oral"
"1197","T3D1430","oral"
"1198","T3D1431","oral"
"1199","T3D1432","oral"
"1200","T3D1434","oral"
"1201","T3D1435","oral"
"1202","T3D1436","oral"
"1203","T3D1437","oral"
"1204","T3D1438","oral"
"1205","T3D1439","oral"
"1206","T3D1441","oral"
"1207","T3D1444","oral"
"1208","T3D1445","oral"
"1209","T3D1446","oral"
"1210","T3D1448","oral"
"1211","T3D1449","oral"
"1212","T3D1450","oral"
"1213","T3D1451","oral"
"1214","T3D1452","oral"
"1215","T3D1454","oral"
"1216","T3D1455","oral"
"1217","T3D1457","oral"
"1218","T3D1458","oral"
"1219","T3D1459","oral"
"1220","T3D1460","oral"
"1221","T3D1461","oral"
"1222","T3D1462","oral"
"1223","T3D1463","oral"
"1224","T3D1464","oral"
"1225","T3D1465","oral"
"1226","T3D1466","oral"
"1227","T3D1467","oral"
"1228","T3D1468","oral"
"1229","T3D1469","oral"
"1230","T3D1470","oral"
"1231","T3D1471","oral"
"1232","T3D1473","oral"
"1233","T3D1474","oral"
"1234","T3D1475","oral"
"1235","T3D1476","oral"
"1236","T3D1477","oral"
"1237","T3D1486","oral"
"1238","T3D1487","oral"
"1239","T3D1488","oral"
"1240","T3D1490","oral"
"1241","T3D1491","oral"
"1242","T3D1492","oral"
"1243","T3D1493","oral"
"1244","T3D1495","oral"
"1245","T3D1496","oral"
"1246","T3D1497","oral"
"1247","T3D1499","oral"
"1248","T3D1501","oral"
"1249","T3D1502","oral"
"1250","T3D1503","oral"
"1251","T3D1504","oral"
"1252","T3D1505","oral"
"1253","T3D1507","oral"
"1254","T3D1508","oral"
"1255","T3D1509","oral"
"1256","T3D1510","oral"
"1257","T3D1511","oral"
"1258","T3D1512","oral"
"1259","T3D1513","oral"
"1260","T3D1514","oral"
"1261","T3D1515","oral"
"1262","T3D1517","oral"
"1263","T3D1518","oral"
"1264","T3D1519","oral"
"1265","T3D1520","oral"
"1266","T3D1521","oral"
"1267","T3D1522","oral"
"1268","T3D1524","oral"
"1269","T3D1525","oral"
"1270","T3D1526","oral"
"1271","T3D1528","oral"
"1272","T3D1529","oral"
"1273","T3D1531","oral"
"1274","T3D1532","oral"
"1275","T3D1533","oral"
"1276","T3D1534","oral"
"1277","T3D1535","oral"
"1278","T3D1536","oral"
"1279","T3D1537","oral"
"1280","T3D1538","oral"
"1281","T3D1539","oral"
"1282","T3D1540","oral"
"1283","T3D1541","oral"
"1284","T3D1542","oral"
"1285","T3D1543","oral"
"1286","T3D1544","oral"
"1287","T3D1545","oral"
"1288","T3D1546","oral"
"1289","T3D1547","oral"
"1290","T3D1548","oral"
"1291","T3D1549","oral"
"1292","T3D1550","oral"
"1293","T3D1551","oral"
"1294","T3D1552","oral"
"1295","T3D1553","oral"
"1296","T3D1554","oral"
"1297","T3D1555","oral"
"1298","T3D1556","oral"
"1299","T3D1557","oral"
"1300","T3D1558","oral"
"1301","T3D1559","oral"
"1302","T3D1560","oral"
"1303","T3D1561","oral"
"1304","T3D1562","oral"
"1305","T3D1563","oral"
"1306","T3D1564","oral"
"1307","T3D1565","oral"
"1308","T3D1566","oral"
"1309","T3D1567","oral"
"1310","T3D1568","oral"
"1311","T3D1571","oral"
"1312","T3D1572","oral"
"1313","T3D1573",NA
"1314","T3D1574",NA
"1315","T3D1575",NA
"1316","T3D1576",NA
"1317","T3D1577","oral"
"1318","T3D1578",NA
"1319","T3D1579",NA
"1320","T3D1581",NA
"1321","T3D1582",NA
"1322","T3D1583",NA
"1323","T3D1584",NA
"1324","T3D1585",NA
"1325","T3D1586",NA
"1326","T3D1587",NA
"1327","T3D1588",NA
"1328","T3D1589",NA
"1329","T3D1590",NA
"1330","T3D1591",NA
"1331","T3D1592",NA
"1332","T3D1593",NA
"1333","T3D1594",NA
"1334","T3D1595",NA
"1335","T3D1596",NA
"1336","T3D1599","oral"
"1337","T3D1600","oral"
"1338","T3D1601","oral"
"1339","T3D1602","oral"
"1340","T3D1603","oral"
"1341","T3D1604","oral"
"1342","T3D1605","oral"
"1343","T3D1606","oral"
"1344","T3D1607","oral"
"1345","T3D1608","oral"
"1346","T3D1609","oral"
"1347","T3D1610","oral"
"1348","T3D1611","oral"
"1349","T3D1612","oral"
"1350","T3D1613","oral"
"1351","T3D1615","oral"
"1352","T3D1616","oral"
"1353","T3D1617","oral"
"1354","T3D1618","oral"
"1355","T3D1619","oral"
"1356","T3D1620","oral"
"1357","T3D1621","oral"
"1358","T3D1622","oral"
"1359","T3D1624","oral"
"1360","T3D1625","oral"
"1361","T3D1626","oral"
"1362","T3D1627","oral"
"1363","T3D1628","oral"
"1364","T3D1629","oral"
"1365","T3D1630","oral"
"1366","T3D1631","oral"
"1367","T3D1632","oral"
"1368","T3D1633","oral"
"1369","T3D1634","oral"
"1370","T3D1635","oral"
"1371","T3D1636","oral"
"1372","T3D1637","oral"
"1373","T3D1638","oral"
"1374","T3D1639","oral"
"1375","T3D1640","oral"
"1376","T3D1641","oral"
"1377","T3D1642","oral"
"1378","T3D1645","oral"
"1379","T3D1646","oral"
"1380","T3D1647","oral"
"1381","T3D1648","oral"
"1382","T3D1649","oral"
"1383","T3D1650","oral"
"1384","T3D1651","oral"
"1385","T3D1652","oral"
"1386","T3D1653","oral"
"1387","T3D1654","oral"
"1388","T3D1655","oral"
"1389","T3D1659","oral"
"1390","T3D1660","oral"
"1391","T3D1661","oral"
"1392","T3D1662","oral"
"1393","T3D1663","oral"
"1394","T3D1664","oral"
"1395","T3D1665","oral"
"1396","T3D1666","oral"
"1397","T3D1667","oral"
"1398","T3D1668","oral"
"1399","T3D1669","oral"
"1400","T3D1670","oral"
"1401","T3D1672","oral"
"1402","T3D1673","oral"
"1403","T3D1674","oral"
"1404","T3D1675","oral"
"1405","T3D1676","oral"
"1406","T3D1677","oral"
"1407","T3D1678","oral"
"1408","T3D1679","oral"
"1409","T3D1680","oral"
"1410","T3D1681","oral"
"1411","T3D1682","oral"
"1412","T3D1683","oral"
"1413","T3D1684","oral"
"1414","T3D1685","oral"
"1415","T3D1686","oral"
"1416","T3D1687","oral"
"1417","T3D1688","oral"
"1418","T3D1689","oral"
"1419","T3D1690","oral"
"1420","T3D1691","oral"
"1421","T3D1692","oral"
"1422","T3D1693","oral"
"1423","T3D1694","oral"
"1424","T3D1695","oral"
"1425","T3D1696","oral"
"1426","T3D1697","oral"
"1427","T3D1698","oral"
"1428","T3D1699","oral"
"1429","T3D1700","oral"
"1430","T3D1701","oral"
"1431","T3D1702","oral"
"1432","T3D1703","oral"
"1433","T3D1704","oral"
"1434","T3D1705","oral"
"1435","T3D1706","oral"
"1436","T3D1707","oral"
"1437","T3D1708","oral"
"1438","T3D1709","oral"
"1439","T3D1710","oral"
"1440","T3D1711","oral"
"1441","T3D1712","oral"
"1442","T3D1713","oral"
"1443","T3D1715","oral"
"1444","T3D1716","oral"
"1445","T3D1717","oral"
"1446","T3D1718","oral"
"1447","T3D1719","oral"
"1448","T3D1720","oral"
"1449","T3D1721","oral"
"1450","T3D1722","oral"
"1451","T3D1723","oral"
"1452","T3D1724","oral"
"1453","T3D1725","oral"
"1454","T3D1726","oral"
"1455","T3D1727","oral"
"1456","T3D1729","oral"
"1457","T3D1730","oral"
"1458","T3D1731","oral"
"1459","T3D1732","oral"
"1460","T3D1733","oral"
"1461","T3D1734","oral"
"1462","T3D1735","oral"
"1463","T3D1736","oral"
"1464","T3D1737","oral"
"1465","T3D1738","oral"
"1466","T3D1739","oral"
"1467","T3D1742","oral"
"1468","T3D1743","oral"
"1469","T3D1744","oral"
"1470","T3D1745","oral"
"1471","T3D1746","oral"
"1472","T3D1747","oral"
"1473","T3D1748","oral"
"1474","T3D1749","oral"
"1475","T3D1750","oral"
"1476","T3D1751","oral"
"1477","T3D1752","oral"
"1478","T3D1753","oral"
"1479","T3D1754","oral"
"1480","T3D1756","oral"
"1481","T3D1758","oral"
"1482","T3D1759","oral"
"1483","T3D1760","oral"
"1484","T3D1761","oral"
"1485","T3D1762","oral"
"1486","T3D1763","oral"
"1487","T3D1764","oral"
"1488","T3D1765","oral"
"1489","T3D1766","oral"
"1490","T3D1767","oral"
"1491","T3D1768","oral"
"1492","T3D1769","oral"
"1493","T3D1770","oral"
"1494","T3D1771","oral"
"1495","T3D1772","oral"
"1496","T3D1773","oral"
"1497","T3D1774","oral"
"1498","T3D1775","oral"
"1499","T3D1776","oral"
"1500","T3D1777","oral"
"1501","T3D1778","oral"
"1502","T3D1779","oral"
"1503","T3D1780","oral"
"1504","T3D1781","oral"
"1505","T3D1782","oral"
"1506","T3D1783","oral"
"1507","T3D1784","oral"
"1508","T3D1785","oral"
"1509","T3D1786","oral"
"1510","T3D1787","oral"
"1511","T3D1788","oral"
"1512","T3D1789","oral"
"1513","T3D1790","oral"
"1514","T3D1791","oral"
"1515","T3D1792","oral"
"1516","T3D1793","oral"
"1517","T3D1795","oral"
"1518","T3D1796","oral"
"1519","T3D1797","oral"
"1520","T3D1798","oral"
"1521","T3D1799","oral"
"1522","T3D1800","oral"
"1523","T3D1801","oral"
"1524","T3D1802","oral"
"1525","T3D1803","oral"
"1526","T3D1804","oral"
"1527","T3D1805","oral"
"1528","T3D1806","oral"
"1529","T3D1807","oral"
"1530","T3D1808","oral"
"1531","T3D1809","oral"
"1532","T3D1810","oral"
"1533","T3D1811","oral"
"1534","T3D1812","oral"
"1535","T3D1813","oral"
"1536","T3D1814","oral"
"1537","T3D1815","oral"
"1538","T3D1816","oral"
"1539","T3D1817","oral"
"1540","T3D1818","oral"
"1541","T3D1819","oral"
"1542","T3D1820","oralthereisnosubstantialabsorptionthroughintactskinabsorptionhasbeenreportedinpatientswithopenlesionsonthescalporinpatientsusinga1%creamontheback-apatientwithscalplesionsthatusedseleniumshampooshadalevelofseleniumsulfideashighas32&mu"
"1543","T3D1820","g/mlinherurine"
"1544","T3D1821","oral"
"1545","T3D1822","oral"
"1546","T3D1823","oral"
"1547","T3D1824","oral"
"1548","T3D1825","oral"
"1549","T3D1826","oral"
"1550","T3D1827","oral"
"1551","T3D1828","oral"
"1552","T3D1829","oral"
"1553","T3D1830","oral"
"1554","T3D1831","oral"
"1555","T3D1832","oral"
"1556","T3D1833","oral"
"1557","T3D1834","oral"
"1558","T3D1835","oral"
"1559","T3D1836","oral"
"1560","T3D1837","oral"
"1561","T3D1838","oral"
"1562","T3D1839","oral"
"1563","T3D1840","oral"
"1564","T3D1841","oral"
"1565","T3D1842","oral"
"1566","T3D1843","inhalation"
"1567","T3D1844","inhalation"
"1568","T3D1846","inhalation"
"1569","T3D1847","inhalation"
"1570","T3D1848","inhalation"
"1571","T3D1849","inhalation"
"1572","T3D1850","inhalationpoorlyabsorbedthroughtheskin"
"1573","T3D1851","inhalation"
"1574","T3D1852","inhalation"
"1575","T3D1853","inhalation"
"1576","T3D1854","inhalation"
"1577","T3D1855","inhalation"
"1578","T3D1856","inhalation"
"1579","T3D1857","inhalation"
"1580","T3D1858","inhalation"
"1581","T3D1859","inhalation"
"1582","T3D1860","inhalation"
"1583","T3D1861","inhalation"
"1584","T3D1862","inhalation"
"1585","T3D1863","inhalation"
"1586","T3D1864","inhalation"
"1587","T3D1866","inhalation"
"1588","T3D1867","inhalation"
"1589","T3D1868","inhalation"
"1590","T3D1869","inhalation"
"1591","T3D1870","inhalation"
"1592","T3D1872","inhalation"
"1593","T3D1873","inhalation"
"1594","T3D1874","inhalation"
"1595","T3D1875","inhalation"
"1596","T3D1876","inhalation"
"1597","T3D1877","inhalation"
"1598","T3D1879","inhalation"
"1599","T3D1880","inhalation"
"1600","T3D1881","inhalation"
"1601","T3D1882","inhalation"
"1602","T3D1883","inhalation"
"1603","T3D1884","inhalation"
"1604","T3D1885","inhalation"
"1605","T3D1886","inhalation"
"1606","T3D1887","inhalation"
"1607","T3D1888","oral"
"1608","T3D1889","inhalation"
"1609","T3D1890","inhalation"
"1610","T3D1891","inhalation"
"1611","T3D1892","inhalation"
"1612","T3D1893","inhalation"
"1613","T3D1894","inhalation"
"1614","T3D1895","inhalation"
"1615","T3D1896","inhalation"
"1616","T3D1897","inhalation"
"1617","T3D1898","inhalation"
"1618","T3D1899","inhalation"
"1619","T3D1900","inhalation"
"1620","T3D1901","inhalation"
"1621","T3D1902","inhalation"
"1622","T3D1903","inhalation"
"1623","T3D1904","inhalation"
"1624","T3D1905","inhalation"
"1625","T3D1906","inhalation"
"1626","T3D1907","inhalation"
"1627","T3D1908","inhalation"
"1628","T3D1909","inhalation"
"1629","T3D1910","inhalation"
"1630","T3D1911","inhalation"
"1631","T3D1912","inhalation"
"1632","T3D1913","inhalation"
"1633","T3D1914","inhalation"
"1634","T3D1915","inhalation"
"1635","T3D1916","inhalation"
"1636","T3D1917","oral"
"1637","T3D1918","oral"
"1638","T3D1919","oral"
"1639","T3D1920","oral"
"1640","T3D1921","oral"
"1641","T3D1922","oral"
"1642","T3D1923","oral"
"1643","T3D1924","oral"
"1644","T3D1925","oral"
"1645","T3D1926","oral"
"1646","T3D1927","oral"
"1647","T3D1928","oral"
"1648","T3D1929","oral"
"1649","T3D1930","oral"
"1650","T3D1931","oral"
"1651","T3D1932","oral"
"1652","T3D1933","oral"
"1653","T3D1934","oral"
"1654","T3D1935","oral"
"1655","T3D1936","oral"
"1656","T3D1937","oral"
"1657","T3D1938","oral"
"1658","T3D1939","oral"
"1659","T3D1940","oral"
"1660","T3D1941","oral"
"1661","T3D1942","oral"
"1662","T3D1943","oral"
"1663","T3D1944","oral"
"1664","T3D1948","oral"
"1665","T3D1949","oral"
"1666","T3D1951","oral"
"1667","T3D1952","oral"
"1668","T3D1953","oral"
"1669","T3D1954","oral"
"1670","T3D1955","oral"
"1671","T3D1956","oral"
"1672","T3D1957","oral"
"1673","T3D1958","oral"
"1674","T3D1960","oral"
"1675","T3D1961","oral"
"1676","T3D1962","oral"
"1677","T3D1963","oral"
"1678","T3D1964","oral"
"1679","T3D1965","oral"
"1680","T3D1966","oral"
"1681","T3D1967","oral"
"1682","T3D1968","oral"
"1683","T3D1969","oral"
"1684","T3D1970","oral"
"1685","T3D1971","oral"
"1686","T3D1972","oral"
"1687","T3D1973","oral"
"1688","T3D1974","oral"
"1689","T3D1975","oral"
"1690","T3D1976","oral"
"1691","T3D1977","oral"
"1692","T3D1978","oral"
"1693","T3D1979","oral"
"1694","T3D1980","oral"
"1695","T3D1981","oral"
"1696","T3D1982","oral"
"1697","T3D1983","oral"
"1698","T3D1984","oral"
"1699","T3D1985","oral"
"1700","T3D1986","oral"
"1701","T3D1987","oral"
"1702","T3D1988","oral"
"1703","T3D1989","oral"
"1704","T3D1990","oral"
"1705","T3D1991","oral"
"1706","T3D1992","oral"
"1707","T3D1993","oral"
"1708","T3D1994","oral"
"1709","T3D1995","oral"
"1710","T3D1996","oral"
"1711","T3D1997","oral"
"1712","T3D1998","oral"
"1713","T3D1999","oral"
"1714","T3D2000","oral"
"1715","T3D2001","oral"
"1716","T3D2002","oral"
"1717","T3D2003","oral"
"1718","T3D2004","oral"
"1719","T3D2005","oral"
"1720","T3D2006","oral"
"1721","T3D2007","oral"
"1722","T3D2008","oral"
"1723","T3D2009","oral"
"1724","T3D2010","oral"
"1725","T3D2011","oral"
"1726","T3D2012","oral"
"1727","T3D2013","oral"
"1728","T3D2014","oral"
"1729","T3D2015","oral"
"1730","T3D2016","oral"
"1731","T3D2017","oral"
"1732","T3D2018","oral"
"1733","T3D2019","oral"
"1734","T3D2020","oral"
"1735","T3D2021","oral"
"1736","T3D2022","oral"
"1737","T3D2023","oral"
"1738","T3D2024","oral"
"1739","T3D2025","oral"
"1740","T3D2026","oral"
"1741","T3D2027","oral"
"1742","T3D2032","oral"
"1743","T3D2033","oral"
"1744","T3D2034","oral"
"1745","T3D2035","oral"
"1746","T3D2036","oral"
"1747","T3D2037","oral"
"1748","T3D2038","oral"
"1749","T3D2039","oral"
"1750","T3D2040","oral"
"1751","T3D2041","oral"
"1752","T3D2042","oral"
"1753","T3D2043","oral"
"1754","T3D2044","oral"
"1755","T3D2045","oral"
"1756","T3D2046","oral"
"1757","T3D2047","oral"
"1758","T3D2048","oral"
"1759","T3D2049","oral"
"1760","T3D2050","oral"
"1761","T3D2051","oral"
"1762","T3D2052","oral"
"1763","T3D2053","oral"
"1764","T3D2054","oral"
"1765","T3D2055","oral"
"1766","T3D2056","oral"
"1767","T3D2057","oral"
"1768","T3D2058","oral"
"1769","T3D2059","oral"
"1770","T3D2060","oral"
"1771","T3D2061","oral"
"1772","T3D2062","oral"
"1773","T3D2063","oral"
"1774","T3D2064","oral"
"1775","T3D2065","oral"
"1776","T3D2066","oral"
"1777","T3D2067","oral"
"1778","T3D2068","oral"
"1779","T3D2069","oral"
"1780","T3D2070","oral"
"1781","T3D2071","oral"
"1782","T3D2072","oral"
"1783","T3D2073","oral"
"1784","T3D2074","oral"
"1785","T3D2075","oral"
"1786","T3D2076","oral"
"1787","T3D2077","oral"
"1788","T3D2078","oral"
"1789","T3D2079","oral"
"1790","T3D2080","oral"
"1791","T3D2081","oral"
"1792","T3D2082","oral"
"1793","T3D2083","oral"
"1794","T3D2084","oral"
"1795","T3D2085","oral"
"1796","T3D2086","oral"
"1797","T3D2087","oral"
"1798","T3D2088","oral"
"1799","T3D2089","oral"
"1800","T3D2090","oral"
"1801","T3D2091","oral"
"1802","T3D2092","oral"
"1803","T3D2093","oral"
"1804","T3D2094","oral"
"1805","T3D2095","oral"
"1806","T3D2096","oral"
"1807","T3D2097","oral"
"1808","T3D2098","oral"
"1809","T3D2099","oral"
"1810","T3D2100","oral"
"1811","T3D2101","oral"
"1812","T3D2102","oral"
"1813","T3D2103","oral"
"1814","T3D2104","oral"
"1815","T3D2105","oral"
"1816","T3D2106","oral"
"1817","T3D2107","oral"
"1818","T3D2108","oral"
"1819","T3D2109","oral"
"1820","T3D2110","oral"
"1821","T3D2111","oral"
"1822","T3D2112","oral"
"1823","T3D2113","oral"
"1824","T3D2114","oral"
"1825","T3D2115","oral"
"1826","T3D2116","oral"
"1827","T3D2117","oral"
"1828","T3D2118","oral"
"1829","T3D2132","inhalation"
"1830","T3D2134","inhalation"
"1831","T3D2136","inhalation"
"1832","T3D2137","inhalation"
"1833","T3D2138","inhalation"
"1834","T3D2139","inhalation"
"1835","T3D2140","inhalation"
"1836","T3D2141","inhalation"
"1837","T3D2142","inhalation"
"1838","T3D2143","inhalation"
"1839","T3D2144","inhalation"
"1840","T3D2145","inhalation"
"1841","T3D2146","inhalation"
"1842","T3D2147","inhalation"
"1843","T3D2148","inhalation"
"1844","T3D2149","inhalation"
"1845","T3D2150","inhalation"
"1846","T3D2151","inhalation"
"1847","T3D2152","inhalation"
"1848","T3D2154","inhalation"
"1849","T3D2155","inhalation"
"1850","T3D2156","inhalation"
"1851","T3D2157","inhalation"
"1852","T3D2158","inhalation"
"1853","T3D2159","inhalation"
"1854","T3D2160","inhalation"
"1855","T3D2161","inhalation"
"1856","T3D2162","inhalation"
"1857","T3D2163","inhalation"
"1858","T3D2164","inhalation"
"1859","T3D2165","inhalation"
"1860","T3D2166","inhalation"
"1861","T3D2167","inhalation"
"1862","T3D2168","inhalation"
"1863","T3D2169","inhalation"
"1864","T3D2170","inhalation"
"1865","T3D2171","inhalation"
"1866","T3D2172","inhalation"
"1867","T3D2173","inhalation"
"1868","T3D2174","inhalation"
"1869","T3D2175","inhalation"
"1870","T3D2176","inhalation"
"1871","T3D2177","inhalation"
"1872","T3D2178","inhalation"
"1873","T3D2179","inhalation"
"1874","T3D2180","inhalation"
"1875","T3D2181","inhalation"
"1876","T3D2182","inhalation"
"1877","T3D2184","inhalation"
"1878","T3D2185","inhalation"
"1879","T3D2186","inhalation"
"1880","T3D2187","inhalation"
"1881","T3D2188","inhalation"
"1882","T3D2189","inhalation"
"1883","T3D2190","inhalation"
"1884","T3D2191","inhalation"
"1885","T3D2192","inhalation"
"1886","T3D2193","inhalation"
"1887","T3D2194","inhalation"
"1888","T3D2195","inhalation"
"1889","T3D2196","inhalation"
"1890","T3D2197","inhalation"
"1891","T3D2198","inhalation"
"1892","T3D2199","inhalation"
"1893","T3D2200","inhalation"
"1894","T3D2201","inhalation"
"1895","T3D2203","inhalation"
"1896","T3D2204","inhalation"
"1897","T3D2205","inhalation"
"1898","T3D2206","inhalation"
"1899","T3D2207","inhalation"
"1900","T3D2208","inhalation"
"1901","T3D2209","inhalation"
"1902","T3D2210","inhalation"
"1903","T3D2211","inhalation"
"1904","T3D2212","inhalation"
"1905","T3D2213","inhalation"
"1906","T3D2214","inhalation"
"1907","T3D2215","inhalation"
"1908","T3D2225","inhalation"
"1909","T3D2228","inhalation"
"1910","T3D2229","inhalation"
"1911","T3D2230","inhalation"
"1912","T3D2231","inhalation"
"1913","T3D2232","inhalation"
"1914","T3D2233","inhalation"
"1915","T3D2234","inhalation"
"1916","T3D2236","inhalation"
"1917","T3D2237","inhalation"
"1918","T3D2238","inhalation"
"1919","T3D2239","inhalation"
"1920","T3D2240","inhalation"
"1921","T3D2241","inhalation"
"1922","T3D2242","inhalation"
"1923","T3D2244","inhalation"
"1924","T3D2245","inhalation"
"1925","T3D2247","inhalation"
"1926","T3D2248","inhalation"
"1927","T3D2249","inhalation"
"1928","T3D2250","inhalation"
"1929","T3D2251","inhalation"
"1930","T3D2257","inhalation"
"1931","T3D2258","inhalation"
"1932","T3D2263","inhalation"
"1933","T3D2264","inhalation"
"1934","T3D2266","inhalation"
"1935","T3D2268","inhalation"
"1936","T3D2279","inhalation"
"1937","T3D2281","inhalation"
"1938","T3D2282","inhalation"
"1939","T3D2286","inhalation"
"1940","T3D2306","inhalation"
"1941","T3D2307","inhalation"
"1942","T3D2324","inhalation"
"1943","T3D2325","inhalation"
"1944","T3D2326","inhalation"
"1945","T3D2327","inhalation"
"1946","T3D2328","inhalation"
"1947","T3D2329","inhalation"
"1948","T3D2330","inhalation"
"1949","T3D2331","inhalation"
"1950","T3D2336","inhalation"
"1951","T3D2338","inhalation"
"1952","T3D2339","inhalation"
"1953","T3D2350","inhalation"
"1954","T3D2358","inhalation"
"1955","T3D2378","inhalation"
"1956","T3D2384","inhalation"
"1957","T3D2403","oral"
"1958","T3D2404","oral"
"1959","T3D2405","oral"
"1960","T3D2406","oral"
"1961","T3D2407","oral"
